threshold,val_precision,val_recall,val_f1,val_accuracy,oot_precision,oot_recall,oot_f1,oot_accuracy,oot_predicted_positives
0.1,0.0155,0.0909,0.0265,0.9517,0.0094,0.0556,0.0161,0.9353,213
0.2,0.0364,0.0909,0.0519,0.976,0.0116,0.0278,0.0164,0.9683,86
0.3,0.0741,0.0909,0.0816,0.9852,0.0,0.0,0.0,0.9797,41
0.4,0.0714,0.0455,0.0556,0.9888,0.0,0.0,0.0,0.9839,25
0.5,0.0,0.0,0.0,0.9911,0.0,0.0,0.0,0.9881,9
0.6,0.0,0.0,0.0,0.9921,0.0,0.0,0.0,0.9897,3
0.7,0.0,0.0,0.0,0.9928,0.0,0.0,0.0,0.99,2
0.8,0.0,0.0,0.0,0.9928,0.0,0.0,0.0,0.9902,1
0.9,0.0,0.0,0.0,0.9928,0.0,0.0,0.0,0.9905,0
