feature_name,feature_family,total_snapshots,non_null_count,overall_coverage_pct,missing_rate_pct,train_coverage_pct,val_coverage_pct,oot_coverage_pct,join_key
hist_sector_delay_count_5y_t,Sector Prior,15769,15769,100.0,0.0,100.0,100.0,100.0,sector+prediction_month
hist_sector_delay_rate_raw_5y_t,Sector Prior,15769,15769,100.0,0.0,100.0,100.0,100.0,sector+prediction_month
hist_sector_mean_delay_months_5y_t,Sector Prior,15769,15769,100.0,0.0,100.0,100.0,100.0,sector+prediction_month
hist_sector_median_delay_months_5y_t,Sector Prior,15769,15769,100.0,0.0,100.0,100.0,100.0,sector+prediction_month
hist_sector_cost_obs_count_5y_t,Sector Prior,15769,15769,100.0,0.0,100.0,100.0,100.0,sector+prediction_month
hist_sector_cost_overrun_count_5y_t,Sector Prior,15769,15769,100.0,0.0,100.0,100.0,100.0,sector+prediction_month
hist_sector_cost_overrun_rate_raw_5y_t,Sector Prior,15769,0,0.0,100.0,0.0,0.0,0.0,sector+prediction_month
hist_sector_mean_cost_overrun_pct_5y_t,Sector Prior,15769,0,0.0,100.0,0.0,0.0,0.0,sector+prediction_month
hist_sector_completed_count_3y_t,Sector Prior,15769,15769,100.0,0.0,100.0,100.0,100.0,sector+prediction_month
hist_sector_delay_count_3y_t,Sector Prior,15769,15769,100.0,0.0,100.0,100.0,100.0,sector+prediction_month
hist_sector_delay_rate_raw_3y_t,Sector Prior,15769,15769,100.0,0.0,100.0,100.0,100.0,sector+prediction_month
hist_sector_mean_delay_months_3y_t,Sector Prior,15769,15769,100.0,0.0,100.0,100.0,100.0,sector+prediction_month
hist_sector_median_delay_months_3y_t,Sector Prior,15769,15769,100.0,0.0,100.0,100.0,100.0,sector+prediction_month
hist_sector_cost_obs_count_3y_t,Sector Prior,15769,15769,100.0,0.0,100.0,100.0,100.0,sector+prediction_month
hist_sector_cost_overrun_count_3y_t,Sector Prior,15769,15769,100.0,0.0,100.0,100.0,100.0,sector+prediction_month
hist_sector_cost_overrun_rate_raw_3y_t,Sector Prior,15769,0,0.0,100.0,0.0,0.0,0.0,sector+prediction_month
hist_sector_mean_cost_overrun_pct_3y_t,Sector Prior,15769,0,0.0,100.0,0.0,0.0,0.0,sector+prediction_month
hist_linked_pre_paimana_observation_months_t,Linked Project History,15769,11919,75.59,24.41,82.74,73.64,60.84,project_id+prediction_month
hist_linked_pre_paimana_schedule_revision_count_t,Linked Project History,15769,11919,75.59,24.41,82.74,73.64,60.84,project_id+prediction_month
hist_linked_pre_paimana_cost_revision_count_t,Linked Project History,15769,11919,75.59,24.41,82.74,73.64,60.84,project_id+prediction_month
hist_linked_pre_paimana_max_cost_escalation_pct_t,Linked Project History,15769,11919,75.59,24.41,82.74,73.64,60.84,project_id+prediction_month
hist_linked_pre_paimana_max_schedule_slippage_months_t,Linked Project History,15769,11919,75.59,24.41,82.74,73.64,60.84,project_id+prediction_month
