feature_name,feature_family,train_mean,val_mean,oot_mean,train_missing_pct,val_missing_pct,oot_missing_pct,ks_stat_train_vs_oot,ks_pval_train_vs_oot,drift_verdict
hist_sector_cost_overrun_rate_raw_lifetime_t,Sector,,,,100.0,100.0,100.0,,,Stable Distribution
hist_sector_mean_cost_overrun_pct_lifetime_t,Sector,,,,100.0,100.0,100.0,,,Stable Distribution
hist_sector_completed_count_5y_t,Sector,470.0,470.0,470.0,0.0,0.0,0.0,0.0,1.0,Stable Distribution
hist_sector_delay_count_5y_t,Sector,414.0,414.0,414.0,0.0,0.0,0.0,0.0,1.0,Stable Distribution
hist_sector_delay_rate_raw_5y_t,Sector,0.9517,0.9517,0.9517,0.0,0.0,0.0,0.0,1.0,Stable Distribution
hist_sector_mean_delay_months_5y_t,Sector,41.9586,41.9586,41.9586,0.0,0.0,0.0,0.0,1.0,Stable Distribution
hist_sector_median_delay_months_5y_t,Sector,40.0,40.0,40.0,0.0,0.0,0.0,0.0,1.0,Stable Distribution
hist_sector_cost_obs_count_5y_t,Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Stable Distribution
hist_sector_cost_overrun_count_5y_t,Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Stable Distribution
hist_sector_cost_overrun_rate_raw_5y_t,Sector,,,,100.0,100.0,100.0,,,Stable Distribution
hist_sector_mean_cost_overrun_pct_5y_t,Sector,,,,100.0,100.0,100.0,,,Stable Distribution
hist_sector_completed_count_3y_t,Sector,339.6326,339.0,339.0,0.0,0.0,0.0,0.6326,0.0,Significant Shift
hist_sector_delay_count_3y_t,Sector,291.6326,291.0,291.0,0.0,0.0,0.0,0.6326,0.0,Significant Shift
hist_sector_delay_rate_raw_3y_t,Sector,0.9358,0.9357,0.9357,0.0,0.0,0.0,0.6326,0.0,Significant Shift
hist_sector_mean_delay_months_3y_t,Sector,38.2633,38.2862,38.2862,0.0,0.0,0.0,0.6326,0.0,Significant Shift
hist_sector_median_delay_months_3y_t,Sector,39.0,39.0,39.0,0.0,0.0,0.0,0.0,1.0,Stable Distribution
hist_sector_cost_obs_count_3y_t,Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Stable Distribution
hist_sector_cost_overrun_count_3y_t,Sector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Stable Distribution
hist_sector_cost_overrun_rate_raw_3y_t,Sector,,,,100.0,100.0,100.0,,,Stable Distribution
hist_sector_mean_cost_overrun_pct_3y_t,Sector,,,,100.0,100.0,100.0,,,Stable Distribution
hist_linked_pre_paimana_observation_months_t,Linked Project,3.1238,2.727,2.673,17.26,26.36,39.16,0.0773,0.0,Significant Shift
hist_linked_pre_paimana_schedule_revision_count_t,Linked Project,0.344,0.3069,0.3057,17.26,26.36,39.16,0.0167,0.6981,Stable Distribution
hist_linked_pre_paimana_cost_revision_count_t,Linked Project,0.6307,0.5632,0.5524,17.26,26.36,39.16,0.0456,0.0012,Significant Shift
hist_linked_pre_paimana_max_cost_escalation_pct_t,Linked Project,3758518.4271,2468559.4261,2402353.3786,17.26,26.36,39.16,0.0108,0.9845,Stable Distribution
hist_linked_pre_paimana_max_schedule_slippage_months_t,Linked Project,11.9294,10.1259,9.9741,17.26,26.36,39.16,0.012,0.9551,Stable Distribution
