project_id,legacy_ocms_code,as_of_date,pre_paimana_observation_months,pre_paimana_schedule_revision_count,pre_paimana_cost_revision_count,pre_paimana_initial_cost,pre_paimana_latest_known_cost,pre_paimana_max_cost_escalation_pct,pre_paimana_initial_doc,pre_paimana_latest_doc,pre_paimana_max_schedule_slippage_months,max_source_date
27300,N24002129,2025-04,0,0,0,,,0.0,,,0.0,
285500,N24002125,2025-04,0,0,0,,,0.0,,,0.0,
293000,N24001678,2025-04,2,0,0,6.0,6.0,0.0,2024-06,2024-06,0.0,2024-03
297700,N24001400,2025-04,3,0,0,24001400.0,24001400.0,0.0,2023-01,2023-01,0.0,2024-03
298500,N24001659,2025-04,2,0,1,1229.0,66.0,0.0,2024-07,2024-07,0.0,2024-03
33604,N24001482,2025-04,2,0,0,4.0,4.0,0.0,2024-10,2024-10,0.0,2024-03
342500,N24001665,2025-04,2,0,0,6.0,6.0,0.0,2024-10,2024-10,0.0,2024-03
343240,N24002126,2025-04,0,0,0,,,0.0,,,0.0,
34795,N24001976,2025-04,1,0,0,2.0,2.0,0.0,2026-02,2026-02,0.0,2024-03
362420,N24001420,2025-04,3,0,1,1294.0,24001420.0,1854723.8021638333,2024-04,2024-04,0.0,2024-03
372000,N24001903,2025-04,1,0,0,372.0,372.0,0.0,2025-04,2025-04,0.0,2024-03
37352,N24001867,2025-04,1,0,0,248.0,248.0,0.0,2024-07,2024-07,0.0,2024-03
37900,N24001902,2025-04,1,0,0,37.0,37.0,0.0,2024-09,2024-09,0.0,2024-03
38770,N24002093,2025-04,1,0,0,24002093.0,24002093.0,0.0,2025-09,2025-09,0.0,2024-03
40000,N24002224,2025-04,0,0,0,,,0.0,,,0.0,
400005,N18000337,2025-04,2,0,0,18000337.0,18000337.0,0.0,2023-06,2023-06,0.0,2024-03
400018,N06000275,2025-04,0,0,0,,,0.0,,,0.0,
400019,N22000514,2025-04,2,0,1,450.0,447.0,0.0,2026-03,2026-03,0.0,2024-03
400022,N22000592,2025-04,2,0,0,22000592.0,22000592.0,0.0,2030-07,2030-07,0.0,2024-03
400023,N22000558,2025-04,2,0,1,32.0,641.0,1903.125,2028-04,2028-04,0.0,2024-03
400033,N06000254,2025-04,2,0,0,6000254.0,6000254.0,0.0,2028-03,2028-03,0.0,2024-03
400043,N16000455,2025-04,2,0,0,16000455.0,16000455.0,0.0,2024-07,2024-07,0.0,2024-03
400073,N06000245,2025-04,3,0,0,6000245.0,6000245.0,0.0,2032-03,2032-03,0.0,2024-03
400074,N06000246,2025-04,3,0,0,6000246.0,6000246.0,0.0,2026-03,2026-03,0.0,2024-03
400077,N16000438,2025-04,3,1,2,16000438.0,12.0,0.0,2024-07,2024-12,5.0,2024-03
400078,N16000435,2025-04,3,0,0,16000435.0,16000435.0,0.0,2024-10,2024-10,0.0,2024-03
400087,N16000431,2025-04,3,0,0,16000431.0,16000431.0,0.0,2026-02,2026-02,0.0,2024-03
400119,N16000213,2025-04,9,0,0,16000213.0,16000213.0,0.0,2018-04,2018-04,0.0,2024-03
400120,N16000247,2025-04,8,0,2,16000247.0,16000247.0,0.0,2020-06,2020-06,0.0,2024-03
400138,N06000238,2025-04,3,0,2,6000238.0,50.0,0.0,2032-03,2032-03,0.0,2024-03
400139,N06000237,2025-04,3,0,0,6000237.0,6000237.0,0.0,2032-03,2032-03,0.0,2024-03
400141,N10000010,2025-04,8,0,0,5.0,5.0,0.0,2021-04,2021-04,0.0,2024-03
400142,N06000193,2025-04,4,1,0,6000193.0,6000193.0,0.0,2022-08,2028-09,73.0,2024-03
400144,N06000199,2025-04,4,1,2,10.0,316.1,3061.0000000000005,2029-03,2020-12,0.0,2024-03
400148,N06000148,2025-04,8,0,2,6000148.0,112.0,0.0,2021-03,2021-03,0.0,2024-03
400149,N06000197,2025-04,4,0,1,3.0,110.0,3566.6666666666665,2029-03,2029-03,0.0,2024-03
