agency,as_of_date,window,completed_count,delay_count,delay_rate_raw,delay_rate_smoothed,mean_delay_months,median_delay_months,cost_obs_count,cost_overrun_count,cost_overrun_rate_raw,cost_overrun_rate_smoothed,mean_cost_overrun_pct,median_cost_overrun_pct,max_source_date
"(NATIONAL 
132 KM,2025-04,lifetime,0,0,,0.01282051282051282,,,0,0,,0.631578947368421,,,
132 KM,2025-04,10y,0,0,,0.013513513513513514,,,0,0,,0.6547619047619048,,,
132 KM,2025-04,5y,0,0,,0.016574585635359115,,,0,0,,0.6493506493506493,,,
132 KM,2025-04,3y,0,0,,0.02097902097902098,,,0,0,,0.5967741935483871,,,
1320 MW,2025-04,lifetime,1,1,1.0,0.9029451137884873,19.0,19.0,0,0,,0.631578947368421,,,2021-08
1320 MW,2025-04,10y,1,1,1.0,0.9208566108007449,19.0,19.0,0,0,,0.631578947368421,,,2021-08
1320 MW,2025-04,5y,1,1,1.0,0.9739583333333334,19.0,19.0,0,0,,0.631578947368421,,,2021-08
1320 MW,2025-04,3y,0,0,,0.9428571428571428,,,0,0,,0.631578947368421,,,
142 KM,2025-04,lifetime,0,0,,0.01282051282051282,,,0,0,,0.631578947368421,,,
142 KM,2025-04,10y,0,0,,0.013513513513513514,,,0,0,,0.6547619047619048,,,
142 KM,2025-04,5y,0,0,,0.016574585635359115,,,0,0,,0.6493506493506493,,,
142 KM,2025-04,3y,0,0,,0.02097902097902098,,,0,0,,0.5967741935483871,,,
1470MW TO 1970MW,2025-04,lifetime,1,1,1.0,0.9612403100775194,74.0,74.0,0,0,,0.631578947368421,,,2015-08
1470MW TO 1970MW,2025-04,10y,1,1,1.0,0.9537037037037037,74.0,74.0,0,0,,0.631578947368421,,,2015-08
1470MW TO 1970MW,2025-04,5y,0,0,,0.95,,,0,0,,0.631578947368421,,,
1470MW TO 1970MW,2025-04,3y,0,0,,1.0,,,0,0,,0.631578947368421,,,
15.59 KM,2025-04,lifetime,0,0,,0.01282051282051282,,,0,0,,0.631578947368421,,,
15.59 KM,2025-04,10y,0,0,,0.013513513513513514,,,0,0,,0.6547619047619048,,,
15.59 KM,2025-04,5y,0,0,,0.016574585635359115,,,0,0,,0.6493506493506493,,,
15.59 KM,2025-04,3y,0,0,,0.02097902097902098,,,0,0,,0.5967741935483871,,,
150 KM,2025-04,lifetime,1,1,1.0,0.9619358346927678,72.0,72.0,0,0,,0.631578947368421,,,2020-03
150 KM,2025-04,10y,1,1,1.0,0.9590909090909091,72.0,72.0,0,0,,0.631578947368421,,,2020-03
150 KM,2025-04,5y,0,0,,0.9517241379310345,,,0,0,,0.631578947368421,,,
150 KM,2025-04,3y,0,0,,0.9358974358974359,,,0,0,,0.631578947368421,,,
155 KM,2025-04,lifetime,0,0,,0.01282051282051282,,,0,0,,0.631578947368421,,,
155 KM,2025-04,10y,0,0,,0.013513513513513514,,,0,0,,0.6547619047619048,,,
155 KM,2025-04,5y,0,0,,0.016574585635359115,,,0,0,,0.6493506493506493,,,
155 KM,2025-04,3y,0,0,,0.02097902097902098,,,0,0,,0.5967741935483871,,,
16,2025-04,lifetime,1,1,1.0,0.9792408066429418,101.0,101.0,0,0,,0.631578947368421,,,2023-09
16,2025-04,10y,1,1,1.0,0.9818181818181818,101.0,101.0,0,0,,0.631578947368421,,,2023-09
16,2025-04,5y,1,1,1.0,0.9785223367697594,101.0,101.0,0,0,,0.631578947368421,,,2023-09
16,2025-04,3y,1,1,1.0,0.9774774774774775,101.0,101.0,0,0,,0.631578947368421,,,2023-09
160 KM,2025-04,lifetime,1,1,1.0,0.9550898203592815,43.0,43.0,0,0,,0.631578947368421,,,2023-10
160 KM,2025-04,10y,1,1,1.0,0.98046875,43.0,43.0,0,0,,0.631578947368421,,,2023-10
160 KM,2025-04,5y,1,1,1.0,0.9893162393162394,43.0,43.0,0,0,,0.631578947368421,,,2023-10
160 KM,2025-04,3y,1,1,1.0,0.9747474747474748,43.0,43.0,0,0,,0.631578947368421,,,2023-10
161 KM,2025-04,lifetime,2,2,1.0,0.967373572593801,90.0,90.0,0,0,,0.631578947368421,,,2020-03
161 KM,2025-04,10y,2,2,1.0,0.964935064935065,90.0,90.0,0,0,,0.631578947368421,,,2020-03
161 KM,2025-04,5y,0,0,,0.9517241379310345,,,0,0,,0.631578947368421,,,
161 KM,2025-04,3y,0,0,,0.9358974358974359,,,0,0,,0.631578947368421,,,
17.07KM,2025-04,lifetime,1,1,1.0,0.9550898203592815,24.0,24.0,0,0,,0.631578947368421,,,2022-03
17.07KM,2025-04,10y,1,1,1.0,0.98046875,24.0,24.0,0,0,,0.631578947368421,,,2022-03
17.07KM,2025-04,5y,1,1,1.0,0.9893162393162394,24.0,24.0,0,0,,0.631578947368421,,,2022-03
17.07KM,2025-04,3y,0,0,,0.9696969696969697,,,0,0,,0.631578947368421,,,
17.61 KM,2025-04,lifetime,0,0,,0.01282051282051282,,,0,0,,0.631578947368421,,,
17.61 KM,2025-04,10y,0,0,,0.013513513513513514,,,0,0,,0.6547619047619048,,,
17.61 KM,2025-04,5y,0,0,,0.016574585635359115,,,0,0,,0.6493506493506493,,,
17.61 KM,2025-04,3y,0,0,,0.02097902097902098,,,0,0,,0.5967741935483871,,,
17.98 KM) (PB#29/NR/2022-23,2025-04,lifetime,0,0,,0.01282051282051282,,,0,0,,0.631578947368421,,,
17.98 KM) (PB#29/NR/2022-23,2025-04,10y,0,0,,0.013513513513513514,,,0,0,,0.6547619047619048,,,
17.98 KM) (PB#29/NR/2022-23,2025-04,5y,0,0,,0.016574585635359115,,,0,0,,0.6493506493506493,,,
17.98 KM) (PB#29/NR/2022-23,2025-04,3y,0,0,,0.02097902097902098,,,0,0,,0.5967741935483871,,,
18 KM,2025-04,lifetime,1,1,1.0,0.9619358346927678,48.0,48.0,0,0,,0.631578947368421,,,2022-03
18 KM,2025-04,10y,1,1,1.0,0.9590909090909091,48.0,48.0,0,0,,0.631578947368421,,,2022-03
18 KM,2025-04,5y,1,1,1.0,0.9597701149425287,48.0,48.0,0,0,,0.631578947368421,,,2022-03
18 KM,2025-04,3y,0,0,,0.9358974358974359,,,0,0,,0.631578947368421,,,
19.06 KM,2025-04,lifetime,1,1,1.0,0.9619358346927678,114.0,114.0,0,0,,0.631578947368421,,,2020-03
19.06 KM,2025-04,10y,1,1,1.0,0.9590909090909091,114.0,114.0,0,0,,0.631578947368421,,,2020-03
19.06 KM,2025-04,5y,0,0,,0.9517241379310345,,,0,0,,0.631578947368421,,,
19.06 KM,2025-04,3y,0,0,,0.9358974358974359,,,0,0,,0.631578947368421,,,
"19.26 
KM",2025-04,lifetime,1,1,1.0,0.9619358346927678,109.0,109.0,0,0,,0.631578947368421,,,2020-03
"19.26 
KM",2025-04,10y,1,1,1.0,0.9590909090909091,109.0,109.0,0,0,,0.631578947368421,,,2020-03
"19.26 
KM",2025-04,5y,0,0,,0.9517241379310345,,,0,0,,0.631578947368421,,,
"19.26 
KM",2025-04,3y,0,0,,0.9358974358974359,,,0,0,,0.631578947368421,,,
"1A 
PACKAGES",2025-04,lifetime,1,1,1.0,0.9619358346927678,21.0,21.0,0,0,,0.631578947368421,,,2024-03
"1A 
PACKAGES",2025-04,10y,1,1,1.0,0.9590909090909091,21.0,21.0,0,0,,0.631578947368421,,,2024-03
"1A 
PACKAGES",2025-04,5y,1,1,1.0,0.9597701149425287,21.0,21.0,0,0,,0.631578947368421,,,2024-03
"1A 
PACKAGES",2025-04,3y,1,1,1.0,0.9465811965811967,21.0,21.0,0,0,,0.631578947368421,,,2024-03
1X250 MW,2025-04,lifetime,1,1,1.0,0.9029451137884873,51.0,51.0,0,0,,0.631578947368421,,,2023-03
1X250 MW,2025-04,10y,1,1,1.0,0.9208566108007449,51.0,51.0,0,0,,0.631578947368421,,,2023-03
1X250 MW,2025-04,5y,1,1,1.0,0.9739583333333334,51.0,51.0,0,0,,0.631578947368421,,,2023-03
1X250 MW,2025-04,3y,1,1,1.0,0.9523809523809524,51.0,51.0,0,0,,0.631578947368421,,,2023-03
1X500 MW,2025-04,lifetime,1,1,1.0,0.9029451137884873,39.0,39.0,0,0,,0.631578947368421,,,2020-03
1X500 MW,2025-04,10y,1,1,1.0,0.9208566108007449,39.0,39.0,0,0,,0.631578947368421,,,2020-03
1X500 MW,2025-04,5y,0,0,,0.96875,,,0,0,,0.631578947368421,,,
1X500 MW,2025-04,3y,0,0,,0.9428571428571428,,,0,0,,0.631578947368421,,,
2,2025-04,lifetime,2,2,1.0,0.9175824175824177,20.5,20.5,0,0,,0.631578947368421,,,2016-03
2,2025-04,10y,1,1,1.0,1.0,28.0,28.0,0,0,,0.631578947368421,,,2016-03
2,2025-04,5y,0,0,,0.8380510440835267,,,0,0,,0.631578947368421,,,
2,2025-04,3y,0,0,,0.8380510440835267,,,0,0,,0.631578947368421,,,
2 125MW,2025-04,lifetime,1,1,1.0,0.9612403100775194,32.0,32.0,0,0,,0.631578947368421,,,2012-02
2 125MW,2025-04,10y,0,0,,0.9444444444444444,,,0,0,,0.631578947368421,,,
2 125MW,2025-04,5y,0,0,,0.95,,,0,0,,0.631578947368421,,,
2 125MW,2025-04,3y,0,0,,1.0,,,0,0,,0.631578947368421,,,
2 X 800 MW,2025-04,lifetime,1,1,1.0,0.9029451137884873,46.0,46.0,0,0,,0.631578947368421,,,2021-08
2 X 800 MW,2025-04,10y,1,1,1.0,0.9208566108007449,46.0,46.0,0,0,,0.631578947368421,,,2021-08
2 X 800 MW,2025-04,5y,1,1,1.0,0.9739583333333334,46.0,46.0,0,0,,0.631578947368421,,,2021-08
2 X 800 MW,2025-04,3y,0,0,,0.9428571428571428,,,0,0,,0.631578947368421,,,
2.5 MTY,2025-04,lifetime,1,1,1.0,0.9612403100775194,96.0,96.0,0,0,,0.631578947368421,,,2020-03
2.5 MTY,2025-04,10y,1,1,1.0,0.9537037037037037,96.0,96.0,0,0,,0.631578947368421,,,2020-03
2.5 MTY,2025-04,5y,0,0,,0.95,,,0,0,,0.631578947368421,,,
2.5 MTY,2025-04,3y,0,0,,1.0,,,0,0,,0.631578947368421,,,
20 KM,2025-04,lifetime,1,1,1.0,0.9550898203592815,63.0,63.0,0,0,,0.631578947368421,,,2022-03
20 KM,2025-04,10y,1,1,1.0,0.98046875,63.0,63.0,0,0,,0.631578947368421,,,2022-03
20 KM,2025-04,5y,1,1,1.0,0.9893162393162394,63.0,63.0,0,0,,0.631578947368421,,,2022-03
20 KM,2025-04,3y,0,0,,0.9696969696969697,,,0,0,,0.631578947368421,,,
20.40 KM,2025-04,lifetime,1,1,1.0,0.9619358346927678,114.0,114.0,0,0,,0.631578947368421,,,2020-03
20.40 KM,2025-04,10y,1,1,1.0,0.9590909090909091,114.0,114.0,0,0,,0.631578947368421,,,2020-03
20.40 KM,2025-04,5y,0,0,,0.9517241379310345,,,0,0,,0.631578947368421,,,
20.40 KM,2025-04,3y,0,0,,0.9358974358974359,,,0,0,,0.631578947368421,,,
2000 MW,2025-04,lifetime,1,1,1.0,0.9029451137884873,20.0,20.0,0,0,,0.631578947368421,,,2023-04
2000 MW,2025-04,10y,1,1,1.0,0.9208566108007449,20.0,20.0,0,0,,0.631578947368421,,,2023-04
2000 MW,2025-04,5y,1,1,1.0,0.9739583333333334,20.0,20.0,0,0,,0.631578947368421,,,2023-04
2000 MW,2025-04,3y,1,1,1.0,0.9523809523809524,20.0,20.0,0,0,,0.631578947368421,,,2023-04
2000MW,2025-04,lifetime,1,0,0.0,0.7362784471218206,-2.0,-2.0,0,0,,0.631578947368421,,,2018-03
2000MW,2025-04,10y,1,0,0.0,0.7541899441340782,-2.0,-2.0,0,0,,0.631578947368421,,,2018-03
2000MW,2025-04,5y,0,0,,0.96875,,,0,0,,0.631578947368421,,,
2000MW,2025-04,3y,0,0,,0.9428571428571428,,,0,0,,0.631578947368421,,,
21.15 KM,2025-04,lifetime,0,0,,0.01282051282051282,,,0,0,,0.631578947368421,,,
21.15 KM,2025-04,10y,0,0,,0.013513513513513514,,,0,0,,0.6547619047619048,,,
21.15 KM,2025-04,5y,0,0,,0.016574585635359115,,,0,0,,0.6493506493506493,,,
21.15 KM,2025-04,3y,0,0,,0.02097902097902098,,,0,0,,0.5967741935483871,,,
21.7 KM,2025-04,lifetime,0,0,,0.01282051282051282,,,0,0,,0.631578947368421,,,
21.7 KM,2025-04,10y,0,0,,0.013513513513513514,,,0,0,,0.6547619047619048,,,
21.7 KM,2025-04,5y,0,0,,0.016574585635359115,,,0,0,,0.6493506493506493,,,
21.7 KM,2025-04,3y,0,0,,0.02097902097902098,,,0,0,,0.5967741935483871,,,
221 KM,2025-04,lifetime,1,1,1.0,0.9550898203592815,48.0,48.0,0,0,,0.631578947368421,,,2024-03
221 KM,2025-04,10y,1,1,1.0,0.98046875,48.0,48.0,0,0,,0.631578947368421,,,2024-03
221 KM,2025-04,5y,1,1,1.0,0.9893162393162394,48.0,48.0,0,0,,0.631578947368421,,,2024-03
221 KM,2025-04,3y,1,1,1.0,0.9747474747474748,48.0,48.0,0,0,,0.631578947368421,,,2024-03
224.9 KM,2025-04,lifetime,1,1,1.0,0.9619358346927678,48.0,48.0,0,0,,0.631578947368421,,,2024-03
224.9 KM,2025-04,10y,1,1,1.0,0.9590909090909091,48.0,48.0,0,0,,0.631578947368421,,,2024-03
224.9 KM,2025-04,5y,1,1,1.0,0.9597701149425287,48.0,48.0,0,0,,0.631578947368421,,,2024-03
