sector,as_of_date,window,completed_count,delay_count,delay_rate_raw,mean_delay_months,median_delay_months,cost_obs_count,cost_overrun_count,cost_overrun_rate_raw,mean_cost_overrun_pct,median_cost_overrun_pct,max_source_date
ROAD TRANSPORT & HIGHWAYS,2026-02,10y,0,0,,,,0,0,,,,
ROAD TRANSPORT & HIGHWAYS,2026-02,5y,0,0,,,,0,0,,,,
ROAD TRANSPORT & HIGHWAYS,2026-02,3y,0,0,,,,0,0,,,,
ROAD TRANSPORT AND HIGHWAYS,2026-02,lifetime,304,274,0.9750889679715302,52.8220640569395,48.0,0,0,,,,2024-04
ROAD TRANSPORT AND HIGHWAYS,2026-02,10y,297,268,0.9781021897810219,53.25912408759124,48.0,0,0,,,,2024-04
ROAD TRANSPORT AND HIGHWAYS,2026-02,5y,204,180,0.972972972972973,55.95135135135135,50.0,0,0,,,,2024-04
ROAD TRANSPORT AND HIGHWAYS,2026-02,3y,134,124,0.96875,46.203125,47.5,0,0,,,,2024-04
SHIPPING,2026-02,lifetime,26,23,0.8846153846153846,31.307692307692307,14.0,0,0,,,,2018-03
SHIPPING,2026-02,10y,3,3,1.0,40.0,11.0,0,0,,,,2018-03
SHIPPING,2026-02,5y,0,0,,,,0,0,,,,
SHIPPING,2026-02,3y,0,0,,,,0,0,,,,
STEEL,2026-02,lifetime,45,42,0.9767441860465116,32.116279069767444,30.0,0,0,,,,2023-09
STEEL,2026-02,10y,24,24,1.0,35.25,35.5,0,0,,,,2023-09
STEEL,2026-02,5y,10,10,1.0,47.0,41.5,0,0,,,,2023-09
STEEL,2026-02,3y,1,1,1.0,100.0,100.0,0,0,,,,2023-09
TELECOMMUNICATIONS,2026-02,lifetime,61,61,1.0,34.950819672131146,29.0,0,0,,,,2020-03
TELECOMMUNICATIONS,2026-02,10y,9,9,1.0,17.88888888888889,11.0,0,0,,,,2020-03
TELECOMMUNICATIONS,2026-02,5y,0,0,,,,0,0,,,,
TELECOMMUNICATIONS,2026-02,3y,0,0,,,,0,0,,,,
UNKNOWN,2026-02,lifetime,300,39,0.13043478260869565,-15.267558528428093,-2.0,129,77,0.5968992248062015,12.848798728061013,4.213371360350196,2026-01
UNKNOWN,2026-02,10y,286,39,0.1368421052631579,-9.385964912280702,0.0,117,71,0.6068376068376068,16.276191604170798,5.313573883161514,2026-01
UNKNOWN,2026-02,5y,232,39,0.16883116883116883,-5.7186147186147185,-2.0,106,63,0.5943396226415094,17.43875737559407,5.5212961773438645,2026-01
UNKNOWN,2026-02,3y,186,39,0.21081081081081082,-3.1027027027027025,-4.0,89,49,0.550561797752809,14.874676634600958,2.0229865853573603,2026-01
URBAN DEVELOPMENT,2026-02,lifetime,33,31,0.96875,39.5,34.5,0,0,,,,2024-03
URBAN DEVELOPMENT,2026-02,10y,30,28,0.9655172413793104,38.241379310344826,33.0,0,0,,,,2024-03
URBAN DEVELOPMENT,2026-02,5y,12,11,1.0,41.0,28.0,0,0,,,,2024-03
URBAN DEVELOPMENT,2026-02,3y,2,2,1.0,48.0,48.0,0,0,,,,2024-03
WATER RESOURCES,2026-02,lifetime,9,9,1.0,17.77777777777778,19.0,0,0,,,,2022-03
WATER RESOURCES,2026-02,10y,9,9,1.0,17.77777777777778,19.0,0,0,,,,2022-03
WATER RESOURCES,2026-02,5y,8,8,1.0,19.25,20.5,0,0,,,,2022-03
WATER RESOURCES,2026-02,3y,0,0,,,,0,0,,,,
ATOMIC ENERGY,2026-03,lifetime,1,1,1.0,22.0,22.0,0,0,,,,2013-02
ATOMIC ENERGY,2026-03,10y,0,0,,,,0,0,,,,
ATOMIC ENERGY,2026-03,5y,0,0,,,,0,0,,,,
ATOMIC ENERGY,2026-03,3y,0,0,,,,0,0,,,,
CENTRAL SECTOR,2026-03,lifetime,674,585,0.9543230016313213,44.35562805872757,40.0,0,0,,,,2024-04
CENTRAL SECTOR,2026-03,10y,609,523,0.9509090909090909,44.52909090909091,41.0,0,0,,,,2024-04
CENTRAL SECTOR,2026-03,5y,470,414,0.9517241379310345,41.95862068965517,40.0,0,0,,,,2024-04
CENTRAL SECTOR,2026-03,3y,339,291,0.9356913183279743,38.28617363344051,39.0,0,0,,,,2024-04
CIVIL AVIATION,2026-03,lifetime,12,12,1.0,40.416666666666664,33.0,0,0,,,,2022-11
CIVIL AVIATION,2026-03,10y,4,4,1.0,83.75,79.0,0,0,,,,2022-11
CIVIL AVIATION,2026-03,5y,2,2,1.0,88.5,88.5,0,0,,,,2022-11
CIVIL AVIATION,2026-03,3y,0,0,,,,0,0,,,,
COAL,2026-03,lifetime,43,41,0.9534883720930233,41.46511627906977,33.0,0,0,,,,2024-04
COAL,2026-03,10y,32,30,0.9375,46.0,37.0,0,0,,,,2024-04
COAL,2026-03,5y,13,13,1.0,50.15384615384615,33.0,0,0,,,,2024-04
COAL,2026-03,3y,6,6,1.0,52.166666666666664,35.0,0,0,,,,2024-04
DEFENCE,2026-03,lifetime,1,1,1.0,50.0,50.0,0,0,,,,2024-04
DEFENCE,2026-03,10y,1,1,1.0,50.0,50.0,0,0,,,,2024-04
DEFENCE,2026-03,5y,1,1,1.0,50.0,50.0,0,0,,,,2024-04
DEFENCE,2026-03,3y,1,1,1.0,50.0,50.0,0,0,,,,2024-04
HEALTH AND FAMILY WELFARE,2026-03,lifetime,17,17,1.0,55.76470588235294,57.0,0,0,,,,2024-02
HEALTH AND FAMILY WELFARE,2026-03,10y,17,17,1.0,55.76470588235294,57.0,0,0,,,,2024-02
HEALTH AND FAMILY WELFARE,2026-03,5y,13,13,1.0,64.6923076923077,63.0,0,0,,,,2024-02
HEALTH AND FAMILY WELFARE,2026-03,3y,12,12,1.0,67.41666666666667,63.5,0,0,,,,2024-02
MINES,2026-03,lifetime,3,3,1.0,20.0,12.0,0,0,,,,2017-11
MINES,2026-03,10y,2,2,1.0,12.0,12.0,0,0,,,,2017-11
MINES,2026-03,5y,0,0,,,,0,0,,,,
MINES,2026-03,3y,0,0,,,,0,0,,,,
PETROLEUM,2026-03,lifetime,302,260,0.87248322147651,19.174496644295303,18.0,0,0,,,,2024-05
PETROLEUM,2026-03,10y,215,178,0.8317757009345794,16.5,17.0,0,0,,,,2024-05
PETROLEUM,2026-03,5y,126,102,0.816,13.84,19.0,0,0,,,,2024-05
PETROLEUM,2026-03,3y,61,41,0.6833333333333333,6.016666666666667,20.0,0,0,,,,2024-05
PORTS,2026-03,lifetime,1,1,1.0,26.0,26.0,0,0,,,,2017-05
PORTS,2026-03,10y,1,1,1.0,26.0,26.0,0,0,,,,2017-05
PORTS,2026-03,5y,0,0,,,,0,0,,,,
PORTS,2026-03,3y,0,0,,,,0,0,,,,
POWER,2026-03,lifetime,249,220,0.8835341365461847,28.04016064257028,20.0,0,0,,,,2024-04
POWER,2026-03,10y,167,152,0.9101796407185628,33.51497005988024,26.0,0,0,,,,2024-04
POWER,2026-03,5y,61,59,0.9672131147540983,37.885245901639344,28.0,0,0,,,,2024-04
POWER,2026-03,3y,17,16,0.9411764705882353,35.294117647058826,25.0,0,0,,,,2024-04
RAILWAYS,2026-03,lifetime,197,158,0.9461077844311377,67.30538922155688,48.0,0,0,,,,2024-04
RAILWAYS,2026-03,10y,148,125,0.9765625,72.1953125,48.0,0,0,,,,2024-04
RAILWAYS,2026-03,5y,84,77,0.9871794871794872,63.794871794871796,38.0,0,0,,,,2024-04
RAILWAYS,2026-03,3y,35,30,0.967741935483871,64.61290322580645,43.0,0,0,,,,2024-04
ROAD TRANSPORT & HIGHWAYS,2026-03,lifetime,66,64,1.0,41.75,40.5,0,0,,,,2013-03
ROAD TRANSPORT & HIGHWAYS,2026-03,10y,0,0,,,,0,0,,,,
ROAD TRANSPORT & HIGHWAYS,2026-03,5y,0,0,,,,0,0,,,,
ROAD TRANSPORT & HIGHWAYS,2026-03,3y,0,0,,,,0,0,,,,
ROAD TRANSPORT AND HIGHWAYS,2026-03,lifetime,304,274,0.9750889679715302,52.8220640569395,48.0,0,0,,,,2024-04
ROAD TRANSPORT AND HIGHWAYS,2026-03,10y,297,268,0.9781021897810219,53.25912408759124,48.0,0,0,,,,2024-04
ROAD TRANSPORT AND HIGHWAYS,2026-03,5y,204,180,0.972972972972973,55.95135135135135,50.0,0,0,,,,2024-04
ROAD TRANSPORT AND HIGHWAYS,2026-03,3y,127,117,0.9669421487603306,45.239669421487605,46.0,0,0,,,,2024-04
SHIPPING,2026-03,lifetime,26,23,0.8846153846153846,31.307692307692307,14.0,0,0,,,,2018-03
SHIPPING,2026-03,10y,3,3,1.0,40.0,11.0,0,0,,,,2018-03
SHIPPING,2026-03,5y,0,0,,,,0,0,,,,
SHIPPING,2026-03,3y,0,0,,,,0,0,,,,
STEEL,2026-03,lifetime,45,42,0.9767441860465116,32.116279069767444,30.0,0,0,,,,2023-09
STEEL,2026-03,10y,24,24,1.0,35.25,35.5,0,0,,,,2023-09
STEEL,2026-03,5y,8,8,1.0,50.25,45.5,0,0,,,,2023-09
STEEL,2026-03,3y,1,1,1.0,100.0,100.0,0,0,,,,2023-09
TELECOMMUNICATIONS,2026-03,lifetime,61,61,1.0,34.950819672131146,29.0,0,0,,,,2020-03
TELECOMMUNICATIONS,2026-03,10y,9,9,1.0,17.88888888888889,11.0,0,0,,,,2020-03
TELECOMMUNICATIONS,2026-03,5y,0,0,,,,0,0,,,,
TELECOMMUNICATIONS,2026-03,3y,0,0,,,,0,0,,,,
UNKNOWN,2026-03,lifetime,307,42,0.13725490196078433,-14.800653594771243,-1.0,136,78,0.5735294117647058,12.093144331932441,3.201305875740797,2026-02
UNKNOWN,2026-03,10y,293,42,0.14383561643835616,-9.037671232876713,0.0,124,72,0.5806451612903226,15.25392750734617,4.0827474339118375,2026-02
UNKNOWN,2026-03,5y,239,42,0.17647058823529413,-5.399159663865547,-1.0,113,64,0.5663716814159292,16.244963495893032,3.952123507473479,2026-02
UNKNOWN,2026-03,3y,193,42,0.21875,-2.8020833333333335,-2.5,96,50,0.5208333333333334,13.656445976066948,0.7647875594815018,2026-02
URBAN DEVELOPMENT,2026-03,lifetime,33,31,0.96875,39.5,34.5,0,0,,,,2024-03
URBAN DEVELOPMENT,2026-03,10y,30,28,0.9655172413793104,38.241379310344826,33.0,0,0,,,,2024-03
URBAN DEVELOPMENT,2026-03,5y,12,11,1.0,41.0,28.0,0,0,,,,2024-03
URBAN DEVELOPMENT,2026-03,3y,2,2,1.0,48.0,48.0,0,0,,,,2024-03
WATER RESOURCES,2026-03,lifetime,9,9,1.0,17.77777777777778,19.0,0,0,,,,2022-03
WATER RESOURCES,2026-03,10y,9,9,1.0,17.77777777777778,19.0,0,0,,,,2022-03
WATER RESOURCES,2026-03,5y,8,8,1.0,19.25,20.5,0,0,,,,2022-03
WATER RESOURCES,2026-03,3y,0,0,,,,0,0,,,,
ATOMIC ENERGY,2026-04,lifetime,1,1,1.0,22.0,22.0,0,0,,,,2013-02
ATOMIC ENERGY,2026-04,10y,0,0,,,,0,0,,,,
ATOMIC ENERGY,2026-04,5y,0,0,,,,0,0,,,,
ATOMIC ENERGY,2026-04,3y,0,0,,,,0,0,,,,
CENTRAL SECTOR,2026-04,lifetime,674,585,0.9543230016313213,44.35562805872757,40.0,0,0,,,,2024-04
CENTRAL SECTOR,2026-04,10y,607,521,0.9507299270072993,44.59124087591241,41.0,0,0,,,,2024-04
CENTRAL SECTOR,2026-04,5y,464,408,0.951048951048951,41.83449883449884,40.0,0,0,,,,2024-04
CENTRAL SECTOR,2026-04,3y,144,122,0.8776978417266187,27.52517985611511,30.0,0,0,,,,2024-04
CIVIL AVIATION,2026-04,lifetime,12,12,1.0,40.416666666666664,33.0,0,0,,,,2022-11
CIVIL AVIATION,2026-04,10y,4,4,1.0,83.75,79.0,0,0,,,,2022-11
CIVIL AVIATION,2026-04,5y,2,2,1.0,88.5,88.5,0,0,,,,2022-11
CIVIL AVIATION,2026-04,3y,0,0,,,,0,0,,,,
COAL,2026-04,lifetime,43,41,0.9534883720930233,41.46511627906977,33.0,0,0,,,,2024-04
COAL,2026-04,10y,32,30,0.9375,46.0,37.0,0,0,,,,2024-04
COAL,2026-04,5y,13,13,1.0,50.15384615384615,33.0,0,0,,,,2024-04
COAL,2026-04,3y,6,6,1.0,52.166666666666664,35.0,0,0,,,,2024-04
DEFENCE,2026-04,lifetime,1,1,1.0,50.0,50.0,0,0,,,,2024-04
DEFENCE,2026-04,10y,1,1,1.0,50.0,50.0,0,0,,,,2024-04
DEFENCE,2026-04,5y,1,1,1.0,50.0,50.0,0,0,,,,2024-04
DEFENCE,2026-04,3y,1,1,1.0,50.0,50.0,0,0,,,,2024-04
HEALTH AND FAMILY WELFARE,2026-04,lifetime,17,17,1.0,55.76470588235294,57.0,0,0,,,,2024-02
HEALTH AND FAMILY WELFARE,2026-04,10y,17,17,1.0,55.76470588235294,57.0,0,0,,,,2024-02
HEALTH AND FAMILY WELFARE,2026-04,5y,13,13,1.0,64.6923076923077,63.0,0,0,,,,2024-02
HEALTH AND FAMILY WELFARE,2026-04,3y,12,12,1.0,67.41666666666667,63.5,0,0,,,,2024-02
MINES,2026-04,lifetime,3,3,1.0,20.0,12.0,0,0,,,,2017-11
MINES,2026-04,10y,2,2,1.0,12.0,12.0,0,0,,,,2017-11
MINES,2026-04,5y,0,0,,,,0,0,,,,
MINES,2026-04,3y,0,0,,,,0,0,,,,
PETROLEUM,2026-04,lifetime,302,260,0.87248322147651,19.174496644295303,18.0,0,0,,,,2024-05
PETROLEUM,2026-04,10y,214,177,0.8309859154929577,16.389671361502348,17.0,0,0,,,,2024-05
PETROLEUM,2026-04,5y,122,98,0.8099173553719008,13.685950413223141,19.0,0,0,,,,2024-05
PETROLEUM,2026-04,3y,60,40,0.6779661016949152,5.745762711864407,20.0,0,0,,,,2024-05
PORTS,2026-04,lifetime,1,1,1.0,26.0,26.0,0,0,,,,2017-05
PORTS,2026-04,10y,1,1,1.0,26.0,26.0,0,0,,,,2017-05
PORTS,2026-04,5y,0,0,,,,0,0,,,,
PORTS,2026-04,3y,0,0,,,,0,0,,,,
POWER,2026-04,lifetime,249,220,0.8835341365461847,28.04016064257028,20.0,0,0,,,,2024-04
POWER,2026-04,10y,160,145,0.90625,33.2875,25.0,0,0,,,,2024-04
POWER,2026-04,5y,61,59,0.9672131147540983,37.885245901639344,28.0,0,0,,,,2024-04
POWER,2026-04,3y,15,14,0.9333333333333333,35.4,25.0,0,0,,,,2024-04
RAILWAYS,2026-04,lifetime,197,158,0.9461077844311377,67.30538922155688,48.0,0,0,,,,2024-04
RAILWAYS,2026-04,10y,146,124,0.9763779527559056,72.7007874015748,48.0,0,0,,,,2024-04
RAILWAYS,2026-04,5y,84,77,0.9871794871794872,63.794871794871796,38.0,0,0,,,,2024-04
RAILWAYS,2026-04,3y,24,21,1.0,79.19047619047619,48.0,0,0,,,,2024-04
ROAD TRANSPORT & HIGHWAYS,2026-04,lifetime,66,64,1.0,41.75,40.5,0,0,,,,2013-03
ROAD TRANSPORT & HIGHWAYS,2026-04,10y,0,0,,,,0,0,,,,
ROAD TRANSPORT & HIGHWAYS,2026-04,5y,0,0,,,,0,0,,,,
ROAD TRANSPORT & HIGHWAYS,2026-04,3y,0,0,,,,0,0,,,,
ROAD TRANSPORT AND HIGHWAYS,2026-04,lifetime,304,274,0.9750889679715302,52.8220640569395,48.0,0,0,,,,2024-04
ROAD TRANSPORT AND HIGHWAYS,2026-04,10y,297,268,0.9781021897810219,53.25912408759124,48.0,0,0,,,,2024-04
ROAD TRANSPORT AND HIGHWAYS,2026-04,5y,191,167,0.9709302325581395,56.20348837209303,50.0,0,0,,,,2024-04
ROAD TRANSPORT AND HIGHWAYS,2026-04,3y,105,98,0.9607843137254902,43.029411764705884,40.0,0,0,,,,2024-04
SHIPPING,2026-04,lifetime,26,23,0.8846153846153846,31.307692307692307,14.0,0,0,,,,2018-03
SHIPPING,2026-04,10y,3,3,1.0,40.0,11.0,0,0,,,,2018-03
SHIPPING,2026-04,5y,0,0,,,,0,0,,,,
SHIPPING,2026-04,3y,0,0,,,,0,0,,,,
STEEL,2026-04,lifetime,45,42,0.9767441860465116,32.116279069767444,30.0,0,0,,,,2023-09
STEEL,2026-04,10y,23,23,1.0,35.95652173913044,36.0,0,0,,,,2023-09
STEEL,2026-04,5y,5,5,1.0,48.6,43.0,0,0,,,,2023-09
STEEL,2026-04,3y,1,1,1.0,100.0,100.0,0,0,,,,2023-09
TELECOMMUNICATIONS,2026-04,lifetime,61,61,1.0,34.950819672131146,29.0,0,0,,,,2020-03
TELECOMMUNICATIONS,2026-04,10y,8,8,1.0,12.0,10.5,0,0,,,,2020-03
TELECOMMUNICATIONS,2026-04,5y,0,0,,,,0,0,,,,
TELECOMMUNICATIONS,2026-04,3y,0,0,,,,0,0,,,,
UNKNOWN,2026-04,lifetime,322,53,0.16510903426791276,-13.598130841121495,0.0,146,82,0.5616438356164384,12.714703689375542,2.462557218384207,2026-03
UNKNOWN,2026-04,10y,308,53,0.17263843648208468,-8.061889250814332,0.0,134,76,0.5671641791044776,15.695269555350315,3.7263037037720093,2026-03
UNKNOWN,2026-04,5y,253,53,0.21031746031746032,-4.214285714285714,0.0,122,67,0.5491803278688525,15.394545953555795,3.201305875740797,2026-03
UNKNOWN,2026-04,3y,205,53,0.25980392156862747,-1.6813725490196079,-1.0,106,54,0.5094339622641509,14.365074747249473,0.6332900796791281,2026-03
URBAN DEVELOPMENT,2026-04,lifetime,33,31,0.96875,39.5,34.5,0,0,,,,2024-03
URBAN DEVELOPMENT,2026-04,10y,29,27,0.9642857142857143,38.964285714285715,34.5,0,0,,,,2024-03
URBAN DEVELOPMENT,2026-04,5y,7,7,1.0,32.0,26.0,0,0,,,,2024-03
URBAN DEVELOPMENT,2026-04,3y,1,1,1.0,72.0,72.0,0,0,,,,2024-03
WATER RESOURCES,2026-04,lifetime,9,9,1.0,17.77777777777778,19.0,0,0,,,,2022-03
WATER RESOURCES,2026-04,10y,9,9,1.0,17.77777777777778,19.0,0,0,,,,2022-03
WATER RESOURCES,2026-04,5y,8,8,1.0,19.25,20.5,0,0,,,,2022-03
WATER RESOURCES,2026-04,3y,0,0,,,,0,0,,,,
ATOMIC ENERGY,2026-05,lifetime,1,1,1.0,22.0,22.0,0,0,,,,2013-02
ATOMIC ENERGY,2026-05,10y,0,0,,,,0,0,,,,
ATOMIC ENERGY,2026-05,5y,0,0,,,,0,0,,,,
ATOMIC ENERGY,2026-05,3y,0,0,,,,0,0,,,,
CENTRAL SECTOR,2026-05,lifetime,674,585,0.9543230016313213,44.35562805872757,40.0,0,0,,,,2024-04
CENTRAL SECTOR,2026-05,10y,607,521,0.9507299270072993,44.59124087591241,41.0,0,0,,,,2024-04
CENTRAL SECTOR,2026-05,5y,464,408,0.951048951048951,41.83449883449884,40.0,0,0,,,,2024-04
CENTRAL SECTOR,2026-05,3y,144,122,0.8776978417266187,27.52517985611511,30.0,0,0,,,,2024-04
CIVIL AVIATION,2026-05,lifetime,12,12,1.0,40.416666666666664,33.0,0,0,,,,2022-11
CIVIL AVIATION,2026-05,10y,4,4,1.0,83.75,79.0,0,0,,,,2022-11
CIVIL AVIATION,2026-05,5y,2,2,1.0,88.5,88.5,0,0,,,,2022-11
CIVIL AVIATION,2026-05,3y,0,0,,,,0,0,,,,
COAL,2026-05,lifetime,43,41,0.9534883720930233,41.46511627906977,33.0,0,0,,,,2024-04
COAL,2026-05,10y,30,28,0.9333333333333333,47.8,37.0,0,0,,,,2024-04
COAL,2026-05,5y,13,13,1.0,50.15384615384615,33.0,0,0,,,,2024-04
COAL,2026-05,3y,6,6,1.0,52.166666666666664,35.0,0,0,,,,2024-04
DEFENCE,2026-05,lifetime,1,1,1.0,50.0,50.0,0,0,,,,2024-04
DEFENCE,2026-05,10y,1,1,1.0,50.0,50.0,0,0,,,,2024-04
DEFENCE,2026-05,5y,1,1,1.0,50.0,50.0,0,0,,,,2024-04
DEFENCE,2026-05,3y,1,1,1.0,50.0,50.0,0,0,,,,2024-04
HEALTH AND FAMILY WELFARE,2026-05,lifetime,17,17,1.0,55.76470588235294,57.0,0,0,,,,2024-02
HEALTH AND FAMILY WELFARE,2026-05,10y,17,17,1.0,55.76470588235294,57.0,0,0,,,,2024-02
HEALTH AND FAMILY WELFARE,2026-05,5y,13,13,1.0,64.6923076923077,63.0,0,0,,,,2024-02
HEALTH AND FAMILY WELFARE,2026-05,3y,11,11,1.0,70.27272727272727,64.0,0,0,,,,2024-02
MINES,2026-05,lifetime,3,3,1.0,20.0,12.0,0,0,,,,2017-11
MINES,2026-05,10y,2,2,1.0,12.0,12.0,0,0,,,,2017-11
MINES,2026-05,5y,0,0,,,,0,0,,,,
MINES,2026-05,3y,0,0,,,,0,0,,,,
PETROLEUM,2026-05,lifetime,302,260,0.87248322147651,19.174496644295303,18.0,0,0,,,,2024-05
PETROLEUM,2026-05,10y,214,177,0.8309859154929577,16.389671361502348,17.0,0,0,,,,2024-05
PETROLEUM,2026-05,5y,122,98,0.8099173553719008,13.685950413223141,19.0,0,0,,,,2024-05
PETROLEUM,2026-05,3y,53,35,0.660377358490566,3.30188679245283,19.0,0,0,,,,2024-05
PORTS,2026-05,lifetime,1,1,1.0,26.0,26.0,0,0,,,,2017-05
PORTS,2026-05,10y,1,1,1.0,26.0,26.0,0,0,,,,2017-05
PORTS,2026-05,5y,0,0,,,,0,0,,,,
PORTS,2026-05,3y,0,0,,,,0,0,,,,
POWER,2026-05,lifetime,249,220,0.8835341365461847,28.04016064257028,20.0,0,0,,,,2024-04
POWER,2026-05,10y,160,145,0.90625,33.2875,25.0,0,0,,,,2024-04
POWER,2026-05,5y,61,59,0.9672131147540983,37.885245901639344,28.0,0,0,,,,2024-04
POWER,2026-05,3y,8,7,0.875,32.625,14.0,0,0,,,,2024-04
RAILWAYS,2026-05,lifetime,197,158,0.9461077844311377,67.30538922155688,48.0,0,0,,,,2024-04
RAILWAYS,2026-05,10y,146,124,0.9763779527559056,72.7007874015748,48.0,0,0,,,,2024-04
RAILWAYS,2026-05,5y,84,77,0.9871794871794872,63.794871794871796,38.0,0,0,,,,2024-04
RAILWAYS,2026-05,3y,24,21,1.0,79.19047619047619,48.0,0,0,,,,2024-04
ROAD TRANSPORT & HIGHWAYS,2026-05,lifetime,66,64,1.0,41.75,40.5,0,0,,,,2013-03
ROAD TRANSPORT & HIGHWAYS,2026-05,10y,0,0,,,,0,0,,,,
ROAD TRANSPORT & HIGHWAYS,2026-05,5y,0,0,,,,0,0,,,,
ROAD TRANSPORT & HIGHWAYS,2026-05,3y,0,0,,,,0,0,,,,
ROAD TRANSPORT AND HIGHWAYS,2026-05,lifetime,304,274,0.9750889679715302,52.8220640569395,48.0,0,0,,,,2024-04
ROAD TRANSPORT AND HIGHWAYS,2026-05,10y,279,252,0.9767441860465116,52.554263565891475,48.0,0,0,,,,2024-04
ROAD TRANSPORT AND HIGHWAYS,2026-05,5y,191,167,0.9709302325581395,56.20348837209303,50.0,0,0,,,,2024-04
ROAD TRANSPORT AND HIGHWAYS,2026-05,3y,105,98,0.9607843137254902,43.029411764705884,40.0,0,0,,,,2024-04
SHIPPING,2026-05,lifetime,26,23,0.8846153846153846,31.307692307692307,14.0,0,0,,,,2018-03
SHIPPING,2026-05,10y,3,3,1.0,40.0,11.0,0,0,,,,2018-03
SHIPPING,2026-05,5y,0,0,,,,0,0,,,,
SHIPPING,2026-05,3y,0,0,,,,0,0,,,,
STEEL,2026-05,lifetime,45,42,0.9767441860465116,32.116279069767444,30.0,0,0,,,,2023-09
STEEL,2026-05,10y,23,23,1.0,35.95652173913044,36.0,0,0,,,,2023-09
STEEL,2026-05,5y,5,5,1.0,48.6,43.0,0,0,,,,2023-09
STEEL,2026-05,3y,1,1,1.0,100.0,100.0,0,0,,,,2023-09
TELECOMMUNICATIONS,2026-05,lifetime,61,61,1.0,34.950819672131146,29.0,0,0,,,,2020-03
TELECOMMUNICATIONS,2026-05,10y,8,8,1.0,12.0,10.5,0,0,,,,2020-03
TELECOMMUNICATIONS,2026-05,5y,0,0,,,,0,0,,,,
TELECOMMUNICATIONS,2026-05,3y,0,0,,,,0,0,,,,
UNKNOWN,2026-05,lifetime,329,59,0.1798780487804878,-12.859756097560975,0.0,148,83,0.5608108108108109,13.034826116040731,2.462557218384207,2026-04
UNKNOWN,2026-05,10y,315,59,0.18789808917197454,-7.414012738853503,0.0,136,77,0.5661764705882353,15.999806227515743,3.7263037037720093,2026-04
UNKNOWN,2026-05,5y,259,59,0.22868217054263565,-3.3372093023255816,0.0,123,67,0.5447154471544715,15.680738958718822,2.902127851411054,2026-04
UNKNOWN,2026-05,3y,208,59,0.28502415458937197,-0.8309178743961353,0.0,108,55,0.5092592592592593,14.773198608644842,0.6332900796791281,2026-04
URBAN DEVELOPMENT,2026-05,lifetime,33,31,0.96875,39.5,34.5,0,0,,,,2024-03
URBAN DEVELOPMENT,2026-05,10y,29,27,0.9642857142857143,38.964285714285715,34.5,0,0,,,,2024-03
URBAN DEVELOPMENT,2026-05,5y,7,7,1.0,32.0,26.0,0,0,,,,2024-03
URBAN DEVELOPMENT,2026-05,3y,1,1,1.0,72.0,72.0,0,0,,,,2024-03
WATER RESOURCES,2026-05,lifetime,9,9,1.0,17.77777777777778,19.0,0,0,,,,2022-03
WATER RESOURCES,2026-05,10y,9,9,1.0,17.77777777777778,19.0,0,0,,,,2022-03
WATER RESOURCES,2026-05,5y,8,8,1.0,19.25,20.5,0,0,,,,2022-03
WATER RESOURCES,2026-05,3y,0,0,,,,0,0,,,,
ATOMIC ENERGY,2026-06,lifetime,1,1,1.0,22.0,22.0,0,0,,,,2013-02
ATOMIC ENERGY,2026-06,10y,0,0,,,,0,0,,,,
ATOMIC ENERGY,2026-06,5y,0,0,,,,0,0,,,,
ATOMIC ENERGY,2026-06,3y,0,0,,,,0,0,,,,
CENTRAL SECTOR,2026-06,lifetime,674,585,0.9543230016313213,44.35562805872757,40.0,0,0,,,,2024-04
CENTRAL SECTOR,2026-06,10y,607,521,0.9507299270072993,44.59124087591241,41.0,0,0,,,,2024-04
CENTRAL SECTOR,2026-06,5y,464,408,0.951048951048951,41.83449883449884,40.0,0,0,,,,2024-04
CENTRAL SECTOR,2026-06,3y,144,122,0.8776978417266187,27.52517985611511,30.0,0,0,,,,2024-04
CIVIL AVIATION,2026-06,lifetime,12,12,1.0,40.416666666666664,33.0,0,0,,,,2022-11
CIVIL AVIATION,2026-06,10y,4,4,1.0,83.75,79.0,0,0,,,,2022-11
CIVIL AVIATION,2026-06,5y,2,2,1.0,88.5,88.5,0,0,,,,2022-11
CIVIL AVIATION,2026-06,3y,0,0,,,,0,0,,,,
COAL,2026-06,lifetime,43,41,0.9534883720930233,41.46511627906977,33.0,0,0,,,,2024-04
COAL,2026-06,10y,30,28,0.9333333333333333,47.8,37.0,0,0,,,,2024-04
COAL,2026-06,5y,13,13,1.0,50.15384615384615,33.0,0,0,,,,2024-04
COAL,2026-06,3y,6,6,1.0,52.166666666666664,35.0,0,0,,,,2024-04
DEFENCE,2026-06,lifetime,1,1,1.0,50.0,50.0,0,0,,,,2024-04
DEFENCE,2026-06,10y,1,1,1.0,50.0,50.0,0,0,,,,2024-04
DEFENCE,2026-06,5y,1,1,1.0,50.0,50.0,0,0,,,,2024-04
DEFENCE,2026-06,3y,1,1,1.0,50.0,50.0,0,0,,,,2024-04
HEALTH AND FAMILY WELFARE,2026-06,lifetime,17,17,1.0,55.76470588235294,57.0,0,0,,,,2024-02
HEALTH AND FAMILY WELFARE,2026-06,10y,17,17,1.0,55.76470588235294,57.0,0,0,,,,2024-02
HEALTH AND FAMILY WELFARE,2026-06,5y,13,13,1.0,64.6923076923077,63.0,0,0,,,,2024-02
