month,model_family,calibration_method,n_snapshots,positive_count,positive_rate,brier_score,ece,log_loss,roc_auc,pr_auc
2026-02,FULL_MODEL,Uncalibrated_RF,1909,1178,61.71,0.0578,0.1658,0.2203,0.9915,0.9915
2026-02,FULL_MODEL,Sigmoid_Platt,1909,1178,61.71,0.0116,0.0181,0.0631,0.9915,0.9915
2026-02,FULL_MODEL,Isotonic,1909,1178,61.71,0.0094,0.0028,0.0538,0.9904,0.9887
2026-03,FULL_MODEL,Uncalibrated_RF,1878,1049,55.86,0.0779,0.1054,0.2688,0.9537,0.9496
2026-03,FULL_MODEL,Sigmoid_Platt,1878,1049,55.86,0.0672,0.0576,0.2778,0.9537,0.9496
2026-03,FULL_MODEL,Isotonic,1878,1049,55.86,0.0703,0.0622,0.2995,0.952,0.9403
