probability_bin,bin_lower,bin_upper,sample_count,sample_pct,mean_predicted_probability,observed_positive_rate,absolute_calibration_error,model_family,calibration_method,split
0.2-0.3,0.2,0.3,172,4.54,0.2534,0.2267,0.0267,CONSERVATIVE_MODEL,Sigmoid_Platt,TEST_OOT
0.3-0.4,0.3,0.4,136,3.59,0.346,0.3015,0.0445,CONSERVATIVE_MODEL,Sigmoid_Platt,TEST_OOT
0.4-0.5,0.4,0.5,136,3.59,0.4521,0.4044,0.0476,CONSERVATIVE_MODEL,Sigmoid_Platt,TEST_OOT
0.5-0.6,0.5,0.6,154,4.07,0.5521,0.526,0.0261,CONSERVATIVE_MODEL,Sigmoid_Platt,TEST_OOT
0.6-0.7,0.6,0.7,229,6.05,0.6528,0.6594,0.0066,CONSERVATIVE_MODEL,Sigmoid_Platt,TEST_OOT
0.7-0.8,0.7,0.8,412,10.88,0.7566,0.7791,0.0226,CONSERVATIVE_MODEL,Sigmoid_Platt,TEST_OOT
0.8-0.9,0.8,0.9,682,18.01,0.8511,0.8328,0.0183,CONSERVATIVE_MODEL,Sigmoid_Platt,TEST_OOT
0.9-1.0,0.9,1.0,1025,27.07,0.9679,0.9161,0.0518,CONSERVATIVE_MODEL,Sigmoid_Platt,TEST_OOT
0.0-0.1,0.0,0.1,797,21.05,0.0271,0.0376,0.0106,CONSERVATIVE_MODEL,Isotonic,TEST_OOT
0.1-0.2,0.1,0.2,64,1.69,0.1491,0.0938,0.0553,CONSERVATIVE_MODEL,Isotonic,TEST_OOT
0.2-0.3,0.2,0.3,288,7.6,0.2177,0.2639,0.0462,CONSERVATIVE_MODEL,Isotonic,TEST_OOT
0.3-0.4,0.3,0.4,0,0.0,0.35,,,CONSERVATIVE_MODEL,Isotonic,TEST_OOT
0.4-0.5,0.4,0.5,192,5.07,0.4186,0.4115,0.0071,CONSERVATIVE_MODEL,Isotonic,TEST_OOT
0.5-0.6,0.5,0.6,1,0.03,0.5418,1.0,0.4582,CONSERVATIVE_MODEL,Isotonic,TEST_OOT
0.6-0.7,0.6,0.7,282,7.45,0.6554,0.6312,0.0242,CONSERVATIVE_MODEL,Isotonic,TEST_OOT
0.7-0.8,0.7,0.8,44,1.16,0.7648,0.6591,0.1057,CONSERVATIVE_MODEL,Isotonic,TEST_OOT
0.8-0.9,0.8,0.9,562,14.84,0.8463,0.8043,0.042,CONSERVATIVE_MODEL,Isotonic,TEST_OOT
0.9-1.0,0.9,1.0,1557,41.11,0.9343,0.8838,0.0506,CONSERVATIVE_MODEL,Isotonic,TEST_OOT
