benchmark_level,entity_name,year,total_completed_projects,projects_with_schedule_outcome,delay_count,delay_rate_pct,mean_delay_months,median_delay_months,projects_with_cost_outcome,cost_overrun_count,cost_overrun_rate_pct,mean_cost_overrun_pct,median_cost_overrun_pct,total_original_cost_crore,total_cumulative_expenditure_crore
Agency Lifetime,Ministry of Housing & Urban Affairs,All Years (2011-2025),8,8,8,100.0,36.25,37.0,2,0,0.0,-1.22,-1.22,1831.56,1735.38
Agency Lifetime,Ministry of Petroleum & Natural Gas,All Years (2011-2025),7,7,5,71.43,14.29,24.0,7,4,57.14,34.06,5.24,11692.94,13589.38
Agency Lifetime,MoRTH,All Years (2011-2025),60,60,2,3.33,-13.0,0.0,4,2,50.0,11.79,1.98,18521.47,12014.49
Agency Lifetime,"NATIONAL 
FERTILISER LIMITED",All Years (2011-2025),3,3,3,100.0,24.33,28.0,0,0,,,,486.0,24000037.0
Agency Lifetime,"NATIONAL 
HIGHWAYS AND INFRASTRUCTURE DEVELOPMENT CORPORATION 
Ltd.",All Years (2011-2025),13,12,12,100.0,35.25,36.0,0,0,,,,1735.0,24001599.32
Agency Lifetime,"NATIONAL 
HIGHWAYS AUTHORITY OF INDIA",All Years (2011-2025),35,27,26,96.3,38.74,36.0,0,0,,,,4987.0,168005674.77
Agency Lifetime,NATIONAL FERTILISER LIMITED,All Years (2011-2025),4,4,2,50.0,5.25,2.0,0,0,,,,1616.63,24001148.0
Agency Lifetime,"NATIONAL HIGHWAYS 
AUTHORITY OF INDIA",All Years (2011-2025),23,22,22,100.0,34.86,31.5,0,0,,,,2703.0,576111691.5
Agency Lifetime,"NATIONAL HIGHWAYS AND INFRASTRUCTURE DEVELOPMENT 
CORPORATION Ltd.",All Years (2011-2025),27,27,22,81.48,20.74,16.0,0,0,,,,4107.0,360018534.76
Agency Lifetime,"NATIONAL HIGHWAYS AUTHORITY 
OF INDIA",All Years (2011-2025),9,9,9,100.0,22.67,22.0,0,0,,,,991.0,408108555.0
Agency Lifetime,"NATIONAL HIGHWAYS AUTHORITY OF 
INDIA",All Years (2011-2025),9,8,8,100.0,41.0,40.0,0,0,,,,778.0,336108051.66
Agency Lifetime,NATIONAL HIGHWAYS AUTHORITY OF INDIA,All Years (2011-2025),121,101,100,99.01,43.22,36.0,0,0,,,,13054.7,2328251228.79
Agency Lifetime,NATIONAL HYDRO-ELECTRIC POWER CORPORATION,All Years (2011-2025),3,3,2,66.67,25.0,37.0,0,0,,,,1322.27,60.0
Agency Lifetime,"NATIONAL THERMAL POWER 
CORPORATION",All Years (2011-2025),3,3,3,100.0,10.33,10.0,0,0,,,,181.0,54000059.0
Agency Lifetime,NATIONAL THERMAL POWER CORPORATION,All Years (2011-2025),21,21,20,95.24,23.95,16.0,0,0,,,,1300.0,180003777.0
Agency Lifetime,NEAR BIKANER,All Years (2011-2025),4,4,4,100.0,21.75,22.0,0,0,,,,560.0,96006325.0
Agency Lifetime,NEAR CHAUTALA,All Years (2011-2025),6,6,6,100.0,14.83,17.0,0,0,,,,907.0,144009469.0
Agency Lifetime,NEAR DHANDHANIYA,All Years (2011-2025),3,3,3,100.0,14.33,15.0,0,0,,,,526.0,72004762.0
Agency Lifetime,NEW NH-52,All Years (2011-2025),3,1,1,100.0,58.0,58.0,0,0,,,,133.0,24000393.0
Agency Lifetime,NEYVELI LIGNITE CORPORATION,All Years (2011-2025),3,3,3,100.0,32.67,41.0,0,0,,,,109.0,6001710.0
Agency Lifetime,NH-4,All Years (2011-2025),3,2,1,50.0,58.0,58.0,0,0,,,,212.0,48000358.0
Agency Lifetime,NHAI,All Years (2011-2025),108,108,16,14.81,-18.72,-12.5,73,45,61.64,3.68,2.9,107226.58,1248620607.58
Agency Lifetime,NHIDCL,All Years (2011-2025),21,21,1,4.76,-12.86,-4.0,3,2,66.67,5.72,8.84,10509.46,7059.87
Agency Lifetime,NHPC,All Years (2011-2025),5,5,5,100.0,47.6,43.0,0,0,,,,148.0,900501184.0
Agency Lifetime,NL,All Years (2011-2025),26,22,21,95.45,82.64,87.0,0,0,,,,39073.0,5304448034.83
Agency Lifetime,NLC India Limited [NLCIL],All Years (2011-2025),3,3,3,100.0,31.0,16.0,2,1,50.0,13.18,13.18,19268.83,23210.44
Agency Lifetime,NMDC,All Years (2011-2025),3,3,3,100.0,39.33,37.0,0,0,,,,96.0,19.2
Agency Lifetime,NORTH EAST FRONTIER RAILWAY,All Years (2011-2025),14,10,8,80.0,58.1,50.0,0,0,,,,1158.0,704203387.0
Agency Lifetime,NORTH EASTERN RAILWAY,All Years (2011-2025),7,7,7,100.0,70.57,26.0,0,0,,,,665.0,110001631.0
Agency Lifetime,NORTH WESTERN RAILWAY,All Years (2011-2025),8,6,6,100.0,26.83,27.5,0,0,,,,883.0,550201332.0
Agency Lifetime,NORTHERN RAILWAY,All Years (2011-2025),7,5,5,100.0,113.4,84.0,0,0,,,,733.0,154001802.0
Agency Lifetime,NS CORR.PH-II,All Years (2011-2025),5,5,5,100.0,19.4,18.0,0,0,,,,425.0,1302.8
Agency Lifetime,NTPC,All Years (2011-2025),4,4,2,50.0,26.5,16.0,0,0,,,,3044.73,360202949.3
Agency Lifetime,National Highways Authority of India [NHAI],All Years (2011-2025),11,11,0,0.0,-56.0,-53.0,11,7,63.64,7.6,19.11,13321.3,7203.43
Agency Lifetime,"OIL & 
NATURAL GAS CORPORATION LIMITED",All Years (2011-2025),3,3,3,100.0,28.33,28.0,0,0,,,,158.0,48000104.0
Agency Lifetime,"OIL & NATURAL GAS 
CORPORATION LIMITED",All Years (2011-2025),7,7,7,100.0,53.0,23.0,0,0,,,,650.0,112001142.0
Agency Lifetime,OIL & NATURAL GAS CORPORATION LIMITED,All Years (2011-2025),43,43,39,90.7,26.93,25.0,0,0,,,,4282.79,736105427.0
Agency Lifetime,OIL INDIA LIMITED,All Years (2011-2025),10,10,10,100.0,33.5,32.5,0,0,,,,727.0,68002155.0
Agency Lifetime,ONGCL,All Years (2011-2025),4,4,4,100.0,94.0,90.0,0,0,,,,190.0,640400877.0
Agency Lifetime,PAIMANA,All Years (2011-2025),8,8,1,12.5,-61.25,-20.0,7,5,71.43,22.35,32.08,6777.34,6482.25
Agency Lifetime,PART-A,All Years (2011-2025),3,3,1,33.33,14.0,-4.0,0,0,,,,86.0,54000427.0
Agency Lifetime,PGCIL,All Years (2011-2025),7,7,4,57.14,39.0,2.0,0,0,,,,982.18,378201061.35
Agency Lifetime,PHASE-I,All Years (2011-2025),3,3,2,66.67,3.0,2.0,0,0,,,,459.0,34000708.0
Agency Lifetime,PKG-1,All Years (2011-2025),3,3,2,66.67,21.67,6.0,0,0,,,,693.02,24000737.68
Agency Lifetime,PKG-I,All Years (2011-2025),7,7,6,85.71,28.86,33.0,0,0,,,,1581.95,96002136.59
Agency Lifetime,PKG-II,All Years (2011-2025),4,4,4,100.0,42.5,40.5,0,0,,,,724.0,72002226.0
Agency Lifetime,PORT TRUST,All Years (2011-2025),6,6,6,100.0,45.83,48.0,0,0,,,,258.0,100670127.0
Agency Lifetime,"POWER 
GRID CORPORATION OF INDIA LIMITED",All Years (2011-2025),19,19,15,78.95,14.79,11.0,0,0,,,,180103265.0,450102301.0
Agency Lifetime,"POWER GRID 
CORPORATION OF INDIA LIMITED",All Years (2011-2025),23,23,21,91.3,21.74,23.0,0,0,,,,3350.0,360002611.0
Agency Lifetime,"POWER GRID CORPORATION OF 
INDIA LIMITED",All Years (2011-2025),11,11,9,81.82,26.82,21.0,0,0,,,,648.0,144001847.0
Agency Lifetime,"POWER GRID CORPORATION OF INDIA 
LIMITED",All Years (2011-2025),9,9,8,88.89,25.44,31.0,0,0,,,,479.0,108003182.0
Agency Lifetime,POWER GRID CORPORATION OF INDIA LIMITED,All Years (2011-2025),80,80,66,82.5,22.12,13.0,0,0,,,,18010593.32,1636212102.78
Agency Lifetime,Power Grid Corporation of India Limited [POWERGRID],All Years (2011-2025),18,18,13,72.22,4.78,9.5,3,1,33.33,11.02,-0.02,24038.14,24564.62
Agency Lifetime,RAIL VIKAS NIGAM LTD.,All Years (2011-2025),14,13,12,92.31,53.62,48.0,0,0,,,,703.0,465103605.0
Agency Lifetime,RASTRIYA ISPAT NIGAM LIMITED,All Years (2011-2025),12,12,12,100.0,38.0,31.0,0,0,,,,734.0,96001052.0
Agency Lifetime,RVNL,All Years (2011-2025),4,4,2,50.0,42.75,19.0,1,1,100.0,174.17,174.17,2493.23,220102944.06
Agency Lifetime,Rs. Crore,All Years (2011-2025),12,11,11,100.0,23.18,25.0,0,0,,,,702.0,322101864.7
Agency Lifetime,Rs. crore,All Years (2011-2025),82,77,71,92.21,44.79,40.0,0,0,,,,9336.0,1057220710.26
Agency Lifetime,SATLUJ JAL VIDYUT NIGAM LIMITED,All Years (2011-2025),5,5,4,80.0,8.0,5.0,0,0,,,,1174.0,90001504.0
Agency Lifetime,SHIPPING CRP. OF INDIA,All Years (2011-2025),4,4,4,100.0,25.25,25.0,0,0,,,,213.0,75003204.0
Agency Lifetime,SHIPPING crp. of india,All Years (2011-2025),7,7,6,85.71,14.29,3.0,0,0,,,,327.0,250570134.0
Agency Lifetime,SINGARENI COLLIERS COMPANY LIMITTED,All Years (2011-2025),6,6,6,100.0,58.0,55.5,0,0,,,,690.0,36000701.0
Agency Lifetime,SOUTH CENTRAL RAILWAY,All Years (2011-2025),3,3,3,100.0,97.33,36.0,0,0,,,,130.0,264100792.0
Agency Lifetime,SOUTH EASTERN RAILWAY,All Years (2011-2025),4,4,4,100.0,55.5,49.5,0,0,,,,514.0,66000553.0
Agency Lifetime,SOUTH WESTERN RAILWAY,All Years (2011-2025),4,4,4,100.0,74.75,42.0,0,0,,,,204.0,66001111.0
Agency Lifetime,SOUTHERN RAILWAY,All Years (2011-2025),8,7,6,85.71,83.71,36.0,0,0,,,,714.0,154001239.0
Agency Lifetime,"STEEL AUTHORITY OF INDIA 
LIMITED (SAIL",All Years (2011-2025),4,4,4,100.0,19.0,16.0,0,0,,,,240.0,24000207.0
Agency Lifetime,"STEEL AUTHORITY OF INDIA LIMITED 
(SAIL",All Years (2011-2025),3,3,3,100.0,24.33,19.0,0,0,,,,138.0,36000252.0
Agency Lifetime,STEEL AUTHORITY OF INDIA LIMITED (SAIL,All Years (2011-2025),12,12,12,100.0,27.0,22.5,0,0,,,,24000807.0,84005308.49
Agency Lifetime,Uttar Pradesh Jal Nigam,All Years (2011-2025),5,5,5,100.0,17.2,19.0,0,0,,,,909.0,150000050.0
Agency Lifetime,WESTERN COAL FIELDS LIMITED,All Years (2011-2025),7,7,6,85.71,13.0,19.0,0,0,,,,862.0,36000737.5
Agency Lifetime,WESTERN RAILWAY,All Years (2011-2025),3,3,3,100.0,40.0,36.0,0,0,,,,336.0,22000695.0
Agency Lifetime,WR,All Years (2011-2025),6,6,3,50.0,76.33,24.0,3,0,0.0,0.0,0.0,2026.64,242103469.6
