entity,entity_type,as_of_date,window,metric,source_record_count,max_source_outcome_date,leakage_status
SINGARENI COLLIERS COMPANY LIMITTED,Agency,2025-07,5y,agency_historical_priors,4,2023-12,PASS
SINGARENI COLLIERS COMPANY LIMITTED,Agency,2025-07,3y,agency_historical_priors,2,2023-12,PASS
SIX LANE,Agency,2025-07,lifetime,agency_historical_priors,2,2023-01,PASS
SIX LANE,Agency,2025-07,10y,agency_historical_priors,2,2023-01,PASS
SIX LANE,Agency,2025-07,5y,agency_historical_priors,2,2023-01,PASS
SIX LANE,Agency,2025-07,3y,agency_historical_priors,2,2023-01,PASS
SJHPL,Agency,2025-07,lifetime,agency_historical_priors,1,2023-04,PASS
SJHPL,Agency,2025-07,10y,agency_historical_priors,1,2023-04,PASS
SJHPL,Agency,2025-07,5y,agency_historical_priors,1,2023-04,PASS
SJHPL,Agency,2025-07,3y,agency_historical_priors,1,2023-04,PASS
SJVN,Agency,2025-07,lifetime,agency_historical_priors,0,,PASS_NO_EVIDENCE
SJVN,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SJVN,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SJVN,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SMART CITY MISSION,Agency,2025-07,lifetime,agency_historical_priors,0,,PASS_NO_EVIDENCE
SMART CITY MISSION,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SMART CITY MISSION,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SMART CITY MISSION,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SMP,Agency,2025-07,lifetime,agency_historical_priors,1,2014-08,PASS
SMP,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SMP,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SMP,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
"SONEPUR TO 
MADHAPUR",Agency,2025-07,lifetime,agency_historical_priors,1,2023-11,PASS
"SONEPUR TO 
MADHAPUR",Agency,2025-07,10y,agency_historical_priors,1,2023-11,PASS
"SONEPUR TO 
MADHAPUR",Agency,2025-07,5y,agency_historical_priors,1,2023-11,PASS
"SONEPUR TO 
MADHAPUR",Agency,2025-07,3y,agency_historical_priors,1,2023-11,PASS
"SOUTH 
EASTERN RAILWAY",Agency,2025-07,lifetime,agency_historical_priors,1,2019-03,PASS
"SOUTH 
EASTERN RAILWAY",Agency,2025-07,10y,agency_historical_priors,1,2019-03,PASS
"SOUTH 
EASTERN RAILWAY",Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
"SOUTH 
EASTERN RAILWAY",Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTH CENTRAL RAILWAY,Agency,2025-07,lifetime,agency_historical_priors,3,2023-03,PASS
SOUTH CENTRAL RAILWAY,Agency,2025-07,10y,agency_historical_priors,3,2023-03,PASS
SOUTH CENTRAL RAILWAY,Agency,2025-07,5y,agency_historical_priors,2,2023-03,PASS
SOUTH CENTRAL RAILWAY,Agency,2025-07,3y,agency_historical_priors,2,2023-03,PASS
SOUTH CENTRAL RAILWAY [SCR] - I,Agency,2025-07,lifetime,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTH CENTRAL RAILWAY [SCR] - I,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTH CENTRAL RAILWAY [SCR] - I,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTH CENTRAL RAILWAY [SCR] - I,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTH CENTRAL RAILWAY [SCR] - II,Agency,2025-07,lifetime,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTH CENTRAL RAILWAY [SCR] - II,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTH CENTRAL RAILWAY [SCR] - II,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTH CENTRAL RAILWAY [SCR] - II,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
"SOUTH EAST CENTRAL 
RAILWAY",Agency,2025-07,lifetime,agency_historical_priors,1,2023-03,PASS
"SOUTH EAST CENTRAL 
RAILWAY",Agency,2025-07,10y,agency_historical_priors,1,2023-03,PASS
"SOUTH EAST CENTRAL 
RAILWAY",Agency,2025-07,5y,agency_historical_priors,1,2023-03,PASS
"SOUTH EAST CENTRAL 
RAILWAY",Agency,2025-07,3y,agency_historical_priors,1,2023-03,PASS
SOUTH EAST CENTRAL RAILWAY,Agency,2025-07,lifetime,agency_historical_priors,1,2022-03,PASS
SOUTH EAST CENTRAL RAILWAY,Agency,2025-07,10y,agency_historical_priors,1,2022-03,PASS
SOUTH EAST CENTRAL RAILWAY,Agency,2025-07,5y,agency_historical_priors,1,2022-03,PASS
SOUTH EAST CENTRAL RAILWAY,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTH EAST CENTRAL RAILWAY [SECR] - II,Agency,2025-07,lifetime,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTH EAST CENTRAL RAILWAY [SECR] - II,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTH EAST CENTRAL RAILWAY [SECR] - II,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTH EAST CENTRAL RAILWAY [SECR] - II,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTH EASTERN CENTRAL RAILWAY,Agency,2025-07,lifetime,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTH EASTERN CENTRAL RAILWAY,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTH EASTERN CENTRAL RAILWAY,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTH EASTERN CENTRAL RAILWAY,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTH EASTERN COALFIELDS LIMITED [SECL],Agency,2025-07,lifetime,agency_historical_priors,1,2024-08,PASS
SOUTH EASTERN COALFIELDS LIMITED [SECL],Agency,2025-07,10y,agency_historical_priors,1,2024-08,PASS
SOUTH EASTERN COALFIELDS LIMITED [SECL],Agency,2025-07,5y,agency_historical_priors,1,2024-08,PASS
SOUTH EASTERN COALFIELDS LIMITED [SECL],Agency,2025-07,3y,agency_historical_priors,1,2024-08,PASS
SOUTH EASTERN RAILWAY,Agency,2025-07,lifetime,agency_historical_priors,4,2024-03,PASS
SOUTH EASTERN RAILWAY,Agency,2025-07,10y,agency_historical_priors,4,2024-03,PASS
SOUTH EASTERN RAILWAY,Agency,2025-07,5y,agency_historical_priors,3,2024-03,PASS
SOUTH EASTERN RAILWAY,Agency,2025-07,3y,agency_historical_priors,1,2024-03,PASS
SOUTH EASTERN RAILWAY - JH,Agency,2025-07,lifetime,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTH EASTERN RAILWAY - JH,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTH EASTERN RAILWAY - JH,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTH EASTERN RAILWAY - JH,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTH EASTERN RAILWAY [SER] - I,Agency,2025-07,lifetime,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTH EASTERN RAILWAY [SER] - I,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTH EASTERN RAILWAY [SER] - I,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTH EASTERN RAILWAY [SER] - I,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTH WESTERN RAILWAY,Agency,2025-07,lifetime,agency_historical_priors,4,2024-03,PASS
SOUTH WESTERN RAILWAY,Agency,2025-07,10y,agency_historical_priors,3,2024-03,PASS
SOUTH WESTERN RAILWAY,Agency,2025-07,5y,agency_historical_priors,3,2024-03,PASS
SOUTH WESTERN RAILWAY,Agency,2025-07,3y,agency_historical_priors,3,2024-03,PASS
SOUTH WESTERN RAILWAY [SWR] - II,Agency,2025-07,lifetime,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTH WESTERN RAILWAY [SWR] - II,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTH WESTERN RAILWAY [SWR] - II,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTH WESTERN RAILWAY [SWR] - II,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTHERN RAILWAY,Agency,2025-07,lifetime,agency_historical_priors,8,2024-03,PASS
SOUTHERN RAILWAY,Agency,2025-07,10y,agency_historical_priors,7,2024-03,PASS
SOUTHERN RAILWAY,Agency,2025-07,5y,agency_historical_priors,3,2024-03,PASS
SOUTHERN RAILWAY,Agency,2025-07,3y,agency_historical_priors,2,2024-03,PASS
SOUTHERN RAILWAY (SR) - I,Agency,2025-07,lifetime,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTHERN RAILWAY (SR) - I,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTHERN RAILWAY (SR) - I,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTHERN RAILWAY (SR) - I,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTHERN RAILWAY [SR] - I,Agency,2025-07,lifetime,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTHERN RAILWAY [SR] - I,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTHERN RAILWAY [SR] - I,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTHERN RAILWAY [SR] - I,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTHERN RAILWAY [SR] - II,Agency,2025-07,lifetime,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTHERN RAILWAY [SR] - II,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTHERN RAILWAY [SR] - II,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTHERN RAILWAY [SR] - II,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTHERN RAILWAYS [SR] - CONSTRUCTION,Agency,2025-07,lifetime,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTHERN RAILWAYS [SR] - CONSTRUCTION,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTHERN RAILWAYS [SR] - CONSTRUCTION,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SOUTHERN RAILWAYS [SR] - CONSTRUCTION,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SPM,Agency,2025-07,lifetime,agency_historical_priors,1,2015-07,PASS
SPM,Agency,2025-07,10y,agency_historical_priors,1,2015-07,PASS
SPM,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SPM,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
"SPURLINE TO 
CJPL",Agency,2025-07,lifetime,agency_historical_priors,1,2011-04,PASS
"SPURLINE TO 
CJPL",Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
"SPURLINE TO 
CJPL",Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
"SPURLINE TO 
CJPL",Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SPV,Agency,2025-07,lifetime,agency_historical_priors,1,2015-07,PASS
SPV,Agency,2025-07,10y,agency_historical_priors,1,2015-07,PASS
SPV,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SPV,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SPV NAME - POWERGRID DAVANAGERE POWER TRANSMISSION LIMITED,Agency,2025-07,lifetime,agency_historical_priors,0,,PASS_NO_EVIDENCE
SPV NAME - POWERGRID DAVANAGERE POWER TRANSMISSION LIMITED,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SPV NAME - POWERGRID DAVANAGERE POWER TRANSMISSION LIMITED,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SPV NAME - POWERGRID DAVANAGERE POWER TRANSMISSION LIMITED,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SR,Agency,2025-07,lifetime,agency_historical_priors,2,2022-06,PASS
SR,Agency,2025-07,10y,agency_historical_priors,2,2022-06,PASS
SR,Agency,2025-07,5y,agency_historical_priors,1,2022-06,PASS
SR,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SR-ERS,Agency,2025-07,lifetime,agency_historical_priors,0,,PASS_NO_EVIDENCE
SR-ERS,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SR-ERS,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SR-ERS,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
STAGE1,Agency,2025-07,lifetime,agency_historical_priors,0,,PASS_NO_EVIDENCE
STAGE1,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
STAGE1,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
STAGE1,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
"STEEL 
AUTHORITY OF INDIA LIMITED (SAIL",Agency,2025-07,lifetime,agency_historical_priors,2,2021-09,PASS
"STEEL 
AUTHORITY OF INDIA LIMITED (SAIL",Agency,2025-07,10y,agency_historical_priors,1,2021-09,PASS
"STEEL 
AUTHORITY OF INDIA LIMITED (SAIL",Agency,2025-07,5y,agency_historical_priors,1,2021-09,PASS
"STEEL 
AUTHORITY OF INDIA LIMITED (SAIL",Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
"STEEL AUTHORITY 
OF INDIA LIMITED (SAIL",Agency,2025-07,lifetime,agency_historical_priors,1,2010-09,PASS
"STEEL AUTHORITY 
OF INDIA LIMITED (SAIL",Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
"STEEL AUTHORITY 
OF INDIA LIMITED (SAIL",Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
"STEEL AUTHORITY 
OF INDIA LIMITED (SAIL",Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
"STEEL AUTHORITY OF 
INDIA LIMITED (SAIL",Agency,2025-07,lifetime,agency_historical_priors,1,2011-03,PASS
"STEEL AUTHORITY OF 
INDIA LIMITED (SAIL",Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
"STEEL AUTHORITY OF 
INDIA LIMITED (SAIL",Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
"STEEL AUTHORITY OF 
INDIA LIMITED (SAIL",Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
"STEEL AUTHORITY OF INDIA 
LIMITED (SAIL",Agency,2025-07,lifetime,agency_historical_priors,4,2016-11,PASS
"STEEL AUTHORITY OF INDIA 
LIMITED (SAIL",Agency,2025-07,10y,agency_historical_priors,4,2016-11,PASS
"STEEL AUTHORITY OF INDIA 
LIMITED (SAIL",Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
"STEEL AUTHORITY OF INDIA 
LIMITED (SAIL",Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
"STEEL AUTHORITY OF INDIA LIMITED 
(SAIL",Agency,2025-07,lifetime,agency_historical_priors,3,2021-02,PASS
"STEEL AUTHORITY OF INDIA LIMITED 
(SAIL",Agency,2025-07,10y,agency_historical_priors,2,2021-02,PASS
"STEEL AUTHORITY OF INDIA LIMITED 
(SAIL",Agency,2025-07,5y,agency_historical_priors,1,2021-02,PASS
"STEEL AUTHORITY OF INDIA LIMITED 
(SAIL",Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
STEEL AUTHORITY OF INDIA LIMITED (SAIL,Agency,2025-07,lifetime,agency_historical_priors,12,2023-01,PASS
STEEL AUTHORITY OF INDIA LIMITED (SAIL,Agency,2025-07,10y,agency_historical_priors,7,2023-01,PASS
STEEL AUTHORITY OF INDIA LIMITED (SAIL,Agency,2025-07,5y,agency_historical_priors,1,2023-01,PASS
STEEL AUTHORITY OF INDIA LIMITED (SAIL,Agency,2025-07,3y,agency_historical_priors,1,2023-01,PASS
STEEL AUTHORITY OF INDIA LIMITED [SAIL],Agency,2025-07,lifetime,agency_historical_priors,1,2025-05,PASS
STEEL AUTHORITY OF INDIA LIMITED [SAIL],Agency,2025-07,10y,agency_historical_priors,1,2025-05,PASS
STEEL AUTHORITY OF INDIA LIMITED [SAIL],Agency,2025-07,5y,agency_historical_priors,1,2025-05,PASS
STEEL AUTHORITY OF INDIA LIMITED [SAIL],Agency,2025-07,3y,agency_historical_priors,1,2025-05,PASS
STERLITE POWER,Agency,2025-07,lifetime,agency_historical_priors,0,,PASS_NO_EVIDENCE
STERLITE POWER,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
STERLITE POWER,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
STERLITE POWER,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SULTANPUR ROAD TO BEHTA ROAD,Agency,2025-07,lifetime,agency_historical_priors,1,2024-03,PASS
SULTANPUR ROAD TO BEHTA ROAD,Agency,2025-07,10y,agency_historical_priors,1,2024-03,PASS
SULTANPUR ROAD TO BEHTA ROAD,Agency,2025-07,5y,agency_historical_priors,1,2024-03,PASS
SULTANPUR ROAD TO BEHTA ROAD,Agency,2025-07,3y,agency_historical_priors,1,2024-03,PASS
SVCS,Agency,2025-07,lifetime,agency_historical_priors,1,2018-01,PASS
SVCS,Agency,2025-07,10y,agency_historical_priors,1,2018-01,PASS
SVCS,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SVCS,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SWR,Agency,2025-07,lifetime,agency_historical_priors,2,2018-03,PASS
SWR,Agency,2025-07,10y,agency_historical_priors,1,2018-03,PASS
SWR,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SWR,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SYAMA PRASAD MOOKERJEE PORT KOLKATA,Agency,2025-07,lifetime,agency_historical_priors,0,,PASS_NO_EVIDENCE
SYAMA PRASAD MOOKERJEE PORT KOLKATA,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SYAMA PRASAD MOOKERJEE PORT KOLKATA,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
SYAMA PRASAD MOOKERJEE PORT KOLKATA,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
TEJAJINAGAR TO BALWARA,Agency,2025-07,lifetime,agency_historical_priors,0,,PASS_NO_EVIDENCE
TEJAJINAGAR TO BALWARA,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
TEJAJINAGAR TO BALWARA,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
TEJAJINAGAR TO BALWARA,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
TEZPUR UNIVERSITY,Agency,2025-07,lifetime,agency_historical_priors,0,,PASS_NO_EVIDENCE
TEZPUR UNIVERSITY,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
TEZPUR UNIVERSITY,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
TEZPUR UNIVERSITY,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
THANAMCHERLA  TO JAMANDLAPALLY S   EPC(,Agency,2025-07,lifetime,agency_historical_priors,1,2020-03,PASS
THANAMCHERLA  TO JAMANDLAPALLY S   EPC(,Agency,2025-07,10y,agency_historical_priors,1,2020-03,PASS
THANAMCHERLA  TO JAMANDLAPALLY S   EPC(,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
THANAMCHERLA  TO JAMANDLAPALLY S   EPC(,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
THANE,Agency,2025-07,lifetime,agency_historical_priors,1,2012-03,PASS
THANE,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
THANE,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
THANE,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
THDC,Agency,2025-07,lifetime,agency_historical_priors,1,2012-04,PASS
THDC,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
THDC,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
THDC,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
THDC INDIA LIMITED,Agency,2025-07,lifetime,agency_historical_priors,2,2023-06,PASS
THDC INDIA LIMITED,Agency,2025-07,10y,agency_historical_priors,2,2023-06,PASS
THDC INDIA LIMITED,Agency,2025-07,5y,agency_historical_priors,1,2023-06,PASS
THDC INDIA LIMITED,Agency,2025-07,3y,agency_historical_priors,1,2023-06,PASS
THDCIL,Agency,2025-07,lifetime,agency_historical_priors,0,,PASS_NO_EVIDENCE
THDCIL,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
THDCIL,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
THDCIL,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
TN6,Agency,2025-07,lifetime,agency_historical_priors,1,2011-03,PASS
TN6,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
TN6,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
TN6,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
"TO BHILWARA AND 
CHITTORGARH",Agency,2025-07,lifetime,agency_historical_priors,1,2017-03,PASS
"TO BHILWARA AND 
CHITTORGARH",Agency,2025-07,10y,agency_historical_priors,1,2017-03,PASS
"TO BHILWARA AND 
CHITTORGARH",Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
"TO BHILWARA AND 
CHITTORGARH",Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
TOLL,Agency,2025-07,lifetime,agency_historical_priors,2,2022-03,PASS
TOLL,Agency,2025-07,10y,agency_historical_priors,2,2022-03,PASS
TOLL,Agency,2025-07,5y,agency_historical_priors,2,2022-03,PASS
TOLL,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
TULSIPUR,Agency,2025-07,lifetime,agency_historical_priors,0,,PASS_NO_EVIDENCE
TULSIPUR,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
TULSIPUR,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
TULSIPUR,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
TUNNEL WORK,Agency,2025-07,lifetime,agency_historical_priors,0,,PASS_NO_EVIDENCE
TUNNEL WORK,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
TUNNEL WORK,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
TUNNEL WORK,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
U.P.,Agency,2025-07,lifetime,agency_historical_priors,1,2023-04,PASS
U.P.,Agency,2025-07,10y,agency_historical_priors,1,2023-04,PASS
U.P.,Agency,2025-07,5y,agency_historical_priors,1,2023-04,PASS
U.P.,Agency,2025-07,3y,agency_historical_priors,1,2023-04,PASS
UMBRELLA WORK,Agency,2025-07,lifetime,agency_historical_priors,0,,PASS_NO_EVIDENCE
UMBRELLA WORK,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
UMBRELLA WORK,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
UMBRELLA WORK,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
UMBRELLA WORK PB#22/2019-20/NR,Agency,2025-07,lifetime,agency_historical_priors,0,,PASS_NO_EVIDENCE
UMBRELLA WORK PB#22/2019-20/NR,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
UMBRELLA WORK PB#22/2019-20/NR,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
UMBRELLA WORK PB#22/2019-20/NR,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
UMBRELLA WORK PB#23/2018-19/NR,Agency,2025-07,lifetime,agency_historical_priors,0,,PASS_NO_EVIDENCE
UMBRELLA WORK PB#23/2018-19/NR,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
UMBRELLA WORK PB#23/2018-19/NR,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
UMBRELLA WORK PB#23/2018-19/NR,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
UMBRELLA WORK PB#57/2019-20/NR,Agency,2025-07,lifetime,agency_historical_priors,0,,PASS_NO_EVIDENCE
UMBRELLA WORK PB#57/2019-20/NR,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
UMBRELLA WORK PB#57/2019-20/NR,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
UMBRELLA WORK PB#57/2019-20/NR,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
UMPP,Agency,2025-07,lifetime,agency_historical_priors,1,2017-04,PASS
UMPP,Agency,2025-07,10y,agency_historical_priors,1,2017-04,PASS
UMPP,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
UMPP,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
UNKNOWN,Agency,2025-07,lifetime,agency_historical_priors,19,2020-03,PASS
UNKNOWN,Agency,2025-07,10y,agency_historical_priors,19,2020-03,PASS
UNKNOWN,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
UNKNOWN,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
UP TO GANDHAV BRIDGE,Agency,2025-07,lifetime,agency_historical_priors,1,2019-03,PASS
UP TO GANDHAV BRIDGE,Agency,2025-07,10y,agency_historical_priors,1,2019-03,PASS
UP TO GANDHAV BRIDGE,Agency,2025-07,5y,agency_historical_priors,0,,PASS_NO_EVIDENCE
UP TO GANDHAV BRIDGE,Agency,2025-07,3y,agency_historical_priors,0,,PASS_NO_EVIDENCE
UP-3,Agency,2025-07,lifetime,agency_historical_priors,1,2011-03,PASS
UP-3,Agency,2025-07,10y,agency_historical_priors,0,,PASS_NO_EVIDENCE
