entity,entity_type,as_of_date,window,metric,source_record_count,max_source_outcome_date,leakage_status
STEEL,Sector,2025-05,lifetime,sector_historical_priors,45,2023-09,PASS
STEEL,Sector,2025-05,10y,sector_historical_priors,33,2023-09,PASS
STEEL,Sector,2025-05,5y,sector_historical_priors,11,2023-09,PASS
STEEL,Sector,2025-05,3y,sector_historical_priors,2,2023-09,PASS
TELECOMMUNICATIONS,Sector,2025-05,lifetime,sector_historical_priors,61,2020-03,PASS
TELECOMMUNICATIONS,Sector,2025-05,10y,sector_historical_priors,10,2020-03,PASS
TELECOMMUNICATIONS,Sector,2025-05,5y,sector_historical_priors,0,,PASS_NO_EVIDENCE
TELECOMMUNICATIONS,Sector,2025-05,3y,sector_historical_priors,0,,PASS_NO_EVIDENCE
UNKNOWN,Sector,2025-05,lifetime,sector_historical_priors,238,2025-04,PASS
UNKNOWN,Sector,2025-05,10y,sector_historical_priors,226,2025-04,PASS
UNKNOWN,Sector,2025-05,5y,sector_historical_priors,184,2025-04,PASS
UNKNOWN,Sector,2025-05,3y,sector_historical_priors,144,2025-04,PASS
URBAN DEVELOPMENT,Sector,2025-05,lifetime,sector_historical_priors,33,2024-03,PASS
URBAN DEVELOPMENT,Sector,2025-05,10y,sector_historical_priors,31,2024-03,PASS
URBAN DEVELOPMENT,Sector,2025-05,5y,sector_historical_priors,13,2024-03,PASS
URBAN DEVELOPMENT,Sector,2025-05,3y,sector_historical_priors,3,2024-03,PASS
WATER RESOURCES,Sector,2025-05,lifetime,sector_historical_priors,9,2022-03,PASS
WATER RESOURCES,Sector,2025-05,10y,sector_historical_priors,9,2022-03,PASS
WATER RESOURCES,Sector,2025-05,5y,sector_historical_priors,8,2022-03,PASS
WATER RESOURCES,Sector,2025-05,3y,sector_historical_priors,0,,PASS_NO_EVIDENCE
ATOMIC ENERGY,Sector,2025-06,lifetime,sector_historical_priors,1,2013-02,PASS
ATOMIC ENERGY,Sector,2025-06,10y,sector_historical_priors,0,,PASS_NO_EVIDENCE
ATOMIC ENERGY,Sector,2025-06,5y,sector_historical_priors,0,,PASS_NO_EVIDENCE
ATOMIC ENERGY,Sector,2025-06,3y,sector_historical_priors,0,,PASS_NO_EVIDENCE
CENTRAL SECTOR,Sector,2025-06,lifetime,sector_historical_priors,674,2024-04,PASS
CENTRAL SECTOR,Sector,2025-06,10y,sector_historical_priors,609,2024-04,PASS
CENTRAL SECTOR,Sector,2025-06,5y,sector_historical_priors,470,2024-04,PASS
CENTRAL SECTOR,Sector,2025-06,3y,sector_historical_priors,340,2024-04,PASS
CIVIL AVIATION,Sector,2025-06,lifetime,sector_historical_priors,12,2022-11,PASS
CIVIL AVIATION,Sector,2025-06,10y,sector_historical_priors,7,2022-11,PASS
CIVIL AVIATION,Sector,2025-06,5y,sector_historical_priors,2,2022-11,PASS
CIVIL AVIATION,Sector,2025-06,3y,sector_historical_priors,1,2022-11,PASS
COAL,Sector,2025-06,lifetime,sector_historical_priors,43,2024-04,PASS
COAL,Sector,2025-06,10y,sector_historical_priors,36,2024-04,PASS
COAL,Sector,2025-06,5y,sector_historical_priors,20,2024-04,PASS
COAL,Sector,2025-06,3y,sector_historical_priors,6,2024-04,PASS
DEFENCE,Sector,2025-06,lifetime,sector_historical_priors,1,2024-04,PASS
DEFENCE,Sector,2025-06,10y,sector_historical_priors,1,2024-04,PASS
DEFENCE,Sector,2025-06,5y,sector_historical_priors,1,2024-04,PASS
DEFENCE,Sector,2025-06,3y,sector_historical_priors,1,2024-04,PASS
HEALTH AND FAMILY WELFARE,Sector,2025-06,lifetime,sector_historical_priors,17,2024-02,PASS
HEALTH AND FAMILY WELFARE,Sector,2025-06,10y,sector_historical_priors,17,2024-02,PASS
HEALTH AND FAMILY WELFARE,Sector,2025-06,5y,sector_historical_priors,13,2024-02,PASS
HEALTH AND FAMILY WELFARE,Sector,2025-06,3y,sector_historical_priors,13,2024-02,PASS
MINES,Sector,2025-06,lifetime,sector_historical_priors,3,2017-11,PASS
MINES,Sector,2025-06,10y,sector_historical_priors,2,2017-11,PASS
MINES,Sector,2025-06,5y,sector_historical_priors,0,,PASS_NO_EVIDENCE
MINES,Sector,2025-06,3y,sector_historical_priors,0,,PASS_NO_EVIDENCE
PETROLEUM,Sector,2025-06,lifetime,sector_historical_priors,302,2024-05,PASS
PETROLEUM,Sector,2025-06,10y,sector_historical_priors,226,2024-05,PASS
PETROLEUM,Sector,2025-06,5y,sector_historical_priors,134,2024-05,PASS
PETROLEUM,Sector,2025-06,3y,sector_historical_priors,86,2024-05,PASS
PORTS,Sector,2025-06,lifetime,sector_historical_priors,1,2017-05,PASS
PORTS,Sector,2025-06,10y,sector_historical_priors,1,2017-05,PASS
PORTS,Sector,2025-06,5y,sector_historical_priors,0,,PASS_NO_EVIDENCE
PORTS,Sector,2025-06,3y,sector_historical_priors,0,,PASS_NO_EVIDENCE
POWER,Sector,2025-06,lifetime,sector_historical_priors,249,2024-04,PASS
POWER,Sector,2025-06,10y,sector_historical_priors,177,2024-04,PASS
POWER,Sector,2025-06,5y,sector_historical_priors,64,2024-04,PASS
POWER,Sector,2025-06,3y,sector_historical_priors,24,2024-04,PASS
RAILWAYS,Sector,2025-06,lifetime,sector_historical_priors,197,2024-04,PASS
RAILWAYS,Sector,2025-06,10y,sector_historical_priors,148,2024-04,PASS
RAILWAYS,Sector,2025-06,5y,sector_historical_priors,84,2024-04,PASS
RAILWAYS,Sector,2025-06,3y,sector_historical_priors,37,2024-04,PASS
ROAD TRANSPORT & HIGHWAYS,Sector,2025-06,lifetime,sector_historical_priors,66,2013-03,PASS
ROAD TRANSPORT & HIGHWAYS,Sector,2025-06,10y,sector_historical_priors,0,,PASS_NO_EVIDENCE
ROAD TRANSPORT & HIGHWAYS,Sector,2025-06,5y,sector_historical_priors,0,,PASS_NO_EVIDENCE
ROAD TRANSPORT & HIGHWAYS,Sector,2025-06,3y,sector_historical_priors,0,,PASS_NO_EVIDENCE
ROAD TRANSPORT AND HIGHWAYS,Sector,2025-06,lifetime,sector_historical_priors,304,2024-04,PASS
ROAD TRANSPORT AND HIGHWAYS,Sector,2025-06,10y,sector_historical_priors,297,2024-04,PASS
ROAD TRANSPORT AND HIGHWAYS,Sector,2025-06,5y,sector_historical_priors,215,2024-04,PASS
ROAD TRANSPORT AND HIGHWAYS,Sector,2025-06,3y,sector_historical_priors,163,2024-04,PASS
SHIPPING,Sector,2025-06,lifetime,sector_historical_priors,26,2018-03,PASS
SHIPPING,Sector,2025-06,10y,sector_historical_priors,5,2018-03,PASS
SHIPPING,Sector,2025-06,5y,sector_historical_priors,0,,PASS_NO_EVIDENCE
SHIPPING,Sector,2025-06,3y,sector_historical_priors,0,,PASS_NO_EVIDENCE
STEEL,Sector,2025-06,lifetime,sector_historical_priors,45,2023-09,PASS
STEEL,Sector,2025-06,10y,sector_historical_priors,33,2023-09,PASS
STEEL,Sector,2025-06,5y,sector_historical_priors,11,2023-09,PASS
STEEL,Sector,2025-06,3y,sector_historical_priors,2,2023-09,PASS
TELECOMMUNICATIONS,Sector,2025-06,lifetime,sector_historical_priors,61,2020-03,PASS
TELECOMMUNICATIONS,Sector,2025-06,10y,sector_historical_priors,9,2020-03,PASS
TELECOMMUNICATIONS,Sector,2025-06,5y,sector_historical_priors,0,,PASS_NO_EVIDENCE
TELECOMMUNICATIONS,Sector,2025-06,3y,sector_historical_priors,0,,PASS_NO_EVIDENCE
UNKNOWN,Sector,2025-06,lifetime,sector_historical_priors,242,2025-05,PASS
UNKNOWN,Sector,2025-06,10y,sector_historical_priors,230,2025-05,PASS
UNKNOWN,Sector,2025-06,5y,sector_historical_priors,186,2025-05,PASS
UNKNOWN,Sector,2025-06,3y,sector_historical_priors,147,2025-05,PASS
URBAN DEVELOPMENT,Sector,2025-06,lifetime,sector_historical_priors,33,2024-03,PASS
URBAN DEVELOPMENT,Sector,2025-06,10y,sector_historical_priors,31,2024-03,PASS
URBAN DEVELOPMENT,Sector,2025-06,5y,sector_historical_priors,13,2024-03,PASS
URBAN DEVELOPMENT,Sector,2025-06,3y,sector_historical_priors,3,2024-03,PASS
WATER RESOURCES,Sector,2025-06,lifetime,sector_historical_priors,9,2022-03,PASS
WATER RESOURCES,Sector,2025-06,10y,sector_historical_priors,9,2022-03,PASS
WATER RESOURCES,Sector,2025-06,5y,sector_historical_priors,8,2022-03,PASS
WATER RESOURCES,Sector,2025-06,3y,sector_historical_priors,0,,PASS_NO_EVIDENCE
ATOMIC ENERGY,Sector,2025-07,lifetime,sector_historical_priors,1,2013-02,PASS
