threshold,val_precision,val_recall,val_f1,val_accuracy,oot_precision,oot_recall,oot_f1,oot_accuracy,oot_predicted_positives
0.1,0.066,0.4634,0.1155,0.9044,0.0478,0.2222,0.0787,0.9382,209
0.2,0.0885,0.4146,0.1459,0.9346,0.0661,0.1778,0.0964,0.9604,121
0.3,0.1172,0.3659,0.1775,0.9543,0.0714,0.1333,0.093,0.9691,84
0.4,0.1605,0.3171,0.2131,0.9685,0.0833,0.1111,0.0952,0.9749,60
0.5,0.1778,0.1951,0.186,0.977,0.0976,0.0889,0.093,0.9794,41
0.6,0.1818,0.0976,0.127,0.9819,0.0571,0.0444,0.05,0.9799,35
0.7,0.1667,0.0488,0.0755,0.9839,0.0714,0.0222,0.0339,0.9849,14
0.8,0.125,0.0244,0.0408,0.9846,0.0,0.0,0.0,0.9865,6
0.9,0.0,0.0,0.0,0.9865,0.0,0.0,0.0,0.9873,3
