project_id,legacy_ocms_code,agency,sector,project_size_category,original_cost_crore,original_cost_log,planned_duration_months,pre_paimana_obs_months,historical_schedule_revision_count,historical_cost_revision_count,pre_paimana_max_schedule_slippage_months,pre_paimana_max_cost_escalation_pct
293000,N24001678,NHAI,ROAD TRANSPORT & HIGHWAYS,Mega,1460.0,7.2868764117507,34.0,2,0,0,0.0,0.0
297700,N24001400,NHIDCL,ROAD TRANSPORT & HIGHWAYS,Major,211.7,5.3598827222061916,22.0,3,0,0,0.0,0.0
298500,N24001659,NHAI,ROAD TRANSPORT & HIGHWAYS,Mega,3375.31,8.124538676144773,41.0,2,0,1,0.0,0.0
33604,N24001482,NHAI,ROAD TRANSPORT & HIGHWAYS,Major,772.11,6.6504213411800395,26.0,2,0,0,0.0,0.0
342500,N24001665,NHAI,ROAD TRANSPORT & HIGHWAYS,Mega,1592.0,7.373374309910049,34.0,2,0,0,0.0,0.0
34795,N24001976,NHIDCL,ROAD TRANSPORT & HIGHWAYS,Major,430.24,6.066664779670917,38.0,1,0,0,0.0,0.0
362420,N24001420,NHAI,ROAD TRANSPORT & HIGHWAYS,Major,853.66,6.750703729030016,38.0,3,0,1,0.0,1854723.8021638333
372000,N24001903,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,206.54,5.3353240921771325,32.0,1,0,0,0.0,0.0
37352,N24001867,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,174.34,5.1667269461604395,28.0,1,0,0,0.0,0.0
37900,N24001902,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,213.32,5.367470225236353,21.0,1,0,0,0.0,0.0
38770,N24002093,NHAI,ROAD TRANSPORT & HIGHWAYS,Mega,1841.92,7.5191065492399,35.0,1,0,0,0.0,0.0
400005,N18000337,PGCIL,POWER,Mega,4546.26,8.422280132748876,11.0,2,0,0,0.0,0.0
400010,N04000078,AAI,CIVIL AVIATION,Major,480.33,6.176553105552927,38.0,5,0,0,0.0,0.0
400019,N22000514,UMBRELLA WORK,CIVIL AVIATION,Major,492.76,6.202049569174796,95.0,2,0,1,0.0,0.0
400022,N22000592,NWR,RAILWAYS,Mega,2798.16,7.937074651154293,96.0,2,0,0,0.0,0.0
400023,N22000558,SWR,RAILWAYS,Major,748.86,6.619886522439299,106.0,2,0,1,0.0,1903.125
400033,N06000254,WCL,COAL,Major,580.6,6.3657829262193095,70.0,2,0,0,0.0,0.0
400035,N16000495,Indian Oil Corporation Limited [IOCL],OTHER CENTRAL SECTOR,Major,656.0,6.48768401848461,39.0,2,0,1,0.0,7.547169811320755
400043,N16000455,CHENNAI,CIVIL AVIATION,Major,829.0,6.721425700790643,30.0,2,0,0,0.0,0.0
400073,N06000245,CCL,COAL,Major,799.34,6.685036637381008,122.0,3,0,0,0.0,0.0
400074,N06000246,CCL,COAL,Major,908.47,6.812862012257475,86.0,3,0,0,0.0,0.0
400077,N16000438,IOCL,PETROLEUM & NATURAL GAS,Major,827.0,6.71901315438526,30.0,3,1,2,5.0,0.0
400078,N16000435,IOCL,PETROLEUM & NATURAL GAS,Mega,9028.0,9.10819689830748,34.0,3,0,0,0.0,0.0
400087,N16000431,ONGC,PETROLEUM & NATURAL GAS,Major,885.63,6.787427758869102,54.0,3,0,0,0.0,0.0
400119,N16000213,ONGC,PETROLEUM & NATURAL GAS,Mega,3190.69,8.068305836058975,28.0,9,0,0,0.0,0.0
400120,N16000247,ONGC,PETROLEUM & NATURAL GAS,Mega,34012.0,10.434498083461216,51.0,8,0,2,0.0,0.0
400138,N06000238,CCL,COAL,Major,973.5,6.881924518947615,139.0,3,0,2,0.0,0.0
400139,N06000237,CCL,COAL,Major,625.4,6.439989144676593,139.0,3,0,0,0.0,0.0
400141,N10000010,NALCO,COAL,Mega,4103.0,8.319717386850606,76.0,8,0,0,0.0,0.0
400142,N06000193,NLC,COAL,Mega,2242.92,7.715979615383202,182.0,4,1,0,73.0,0.0
400144,N06000199,SECL,COAL,Mega,2310.12,7.74548753449964,99.0,4,1,2,0.0,3061.0000000000005
400148,N06000148,SECL,COAL,Major,869.44,6.768998830928092,60.0,8,0,2,0.0,0.0
400149,N06000197,SECL,COAL,Mega,2309.8,7.745349063907111,103.0,4,0,1,0.0,3566.6666666666665
400150,N06000216,CCL,COAL,Mega,7254.37,8.889497163328688,91.0,3,2,2,0.0,0.0
400151,N06000218,CCL,COAL,Major,778.8,6.659037476548497,92.0,3,0,0,0.0,0.0
400152,N06000233,SECL,COAL,Mega,1248.93,7.130842828728288,80.0,3,0,0,0.0,0.0
400153,N06000243,CCL,COAL,Mega,1020.42,6.928949094989139,86.0,3,1,0,36.0,0.0
400154,N06000242,CCL,COAL,Major,713.35,6.571373038311167,76.0,3,1,2,36.0,0.0
400155,N06000247,CCL,COAL,Mega,2898.28,7.972217709286943,82.0,3,1,0,24.0,0.0
400156,N06000217,CCL,COAL,Mega,5136.15,8.544253729963092,91.0,3,0,0,0.0,0.0
400160,N06000087,CCL,COAL,Major,510.85,6.23803161336578,75.0,11,2,0,108.0,0.0
400162,N06000184,NCL,COAL,Major,998.71,6.907465236924006,44.0,5,0,0,0.0,0.0
400165,N06000249,MCL,COAL,Mega,1693.81,7.435325919136224,94.0,3,0,1,0.0,0.0
400166,N06000113,MCL,COAL,Mega,5194.96,8.555636679531451,97.0,10,0,1,0.0,0.0
400167,N16000279,ONGC,PETROLEUM & NATURAL GAS,Mega,1162.56,7.059239549955923,109.0,7,2,2,0.0,0.0
400168,N16000430,GAIL,PETROLEUM & NATURAL GAS,Mega,8797.0,9.082279701908664,71.0,3,0,2,0.0,0.0
400169,N16000428,ONGC,PETROLEUM & NATURAL GAS,Major,631.03,6.448936861374701,47.0,3,0,2,0.0,0.0
400171,N16000402,HPCL,PETROLEUM & NATURAL GAS,Mega,1421.46,7.260143046097217,33.0,4,2,2,10.0,0.0
400172,N06000169,ECL,COAL,Major,513.98,6.244128064958184,91.0,6,0,2,0.0,0.0
400173,N06000236,ECL,COAL,Major,888.99,6.791210226708006,64.0,3,0,0,0.0,0.0
400174,N12000095,SAIL,COAL,Mega,1034.01,6.942166367488543,31.0,9,0,0,0.0,0.0
400177,N06000132,WCL,COAL,Major,727.28,6.590685589635764,115.0,9,0,0,0.0,0.0
400178,N06000222,8.0 MTY,CIVIL AVIATION,Major,822.88,6.714024888236277,85.0,3,0,0,0.0,0.0
400180,N06000244,ECL,COAL,Major,570.12,6.347599345194205,55.0,3,0,2,0.0,0.0
400181,N06000170,ECL,COAL,Major,502.68,6.221941145788984,127.0,6,0,1,0.0,0.0
400182,N06000165,ECL,COAL,Major,535.18,6.284469925591108,106.0,6,0,0,0.0,0.0
400183,N06000230,MCL,COAL,Mega,3504.21,8.162005712081882,103.0,3,0,2,0.0,0.0
400185,N06000229,MCL,COAL,Mega,6107.87,8.71749709234477,71.0,3,1,1,0.0,0.0
400187,N06000167,MCL,COAL,Mega,2434.75,7.798009996305451,106.0,6,0,0,0.0,0.0
400204,N22000569,NER,RAILWAYS,Mega,4939.78,8.505278492454748,144.0,2,0,1,0.0,0.0
400205,N22000565,NER,RAILWAYS,Major,371.77,5.920961607470378,115.0,2,1,1,15.0,183337941.6666667
400220,N22000489,IRCON,COAL,Mega,3055.0,8.024862150286411,65.0,6,0,1,0.0,0.0
400223,N22000626,SR,RAILWAYS,Major,677.12,6.519324263429752,212.0,2,0,0,0.0,0.0
400231,N06000270,NLC,COAL,Mega,27213.0,10.211486825750804,64.0,1,0,0,0.0,0.0
400232,N22000521,ECOR,RAILWAYS,Major,296.51,5.695447837866143,204.0,2,0,1,0.0,0.0
400247,N22000624,ER,RAILWAYS,Mega,1000.0,6.90875477931522,116.0,2,0,1,0.0,0.0
400253,N22000409,RVNL,RAILWAYS,Mega,4803.16,8.47723748822394,431.0,8,1,0,225.0,0.0
400259,N06000152,NLC,OTHER CENTRAL SECTOR,Mega,17237.0,9.754871528207344,64.0,8,0,0,0.0,0.0
400261,N18000275,NTPC,POWER,Mega,17112.0,9.747593687577451,64.0,5,0,0,0.0,0.0
400271,N22000231,CR,RAILWAYS,Mega,3445.48,8.14510869932033,227.0,11,2,1,131.0,0.0
400275,N22000085,SR,RAILWAYS,Mega,3631.34,8.197632347674624,120.0,10,5,2,243.0,0.0
400277,N22000110,MTP,CIVIL AVIATION,Mega,8964.35,9.101122425991052,188.0,11,0,0,0.0,0.0
400280,N22000028,MRTP,CIVIL AVIATION,Major,734.01,6.59988410456246,219.0,11,0,0,0.0,0.0
400291,N22000318,ECOR,RAILWAYS,Mega,1588.7,7.371300598166826,87.0,10,1,0,24.0,0.0
400298,N22000286,SCR,RAILWAYS,Mega,2312.0,7.746300662231439,193.0,10,3,2,300.0,0.0
400299,N10000016,NALCO,COAL,Mega,1437.0,7.271008538280992,79.0,2,1,1,79.0,336.17021276595744
400301,N16000234,BPCL,PETROLEUM & NATURAL GAS,Major,678.0,6.520621127558696,51.0,8,1,1,73.0,0.0
400312,N06000223,5.00 MTY,CIVIL AVIATION,Mega,1210.12,7.099300830303624,107.0,3,0,0,0.0,0.0
400313,N06000163,ECL,COAL,Mega,2661.73,7.887107191263239,120.0,6,2,2,0.0,0.0
400315,N06000220,ECL,COAL,Mega,5365.88,8.588002013067168,92.0,3,0,0,0.0,0.0
400321,N06000196,NCL,COAL,Mega,1729.68,7.456269673846386,52.0,4,0,2,0.0,506.6666666666666
400352,N06000240,CCL,COAL,Major,764.57,6.640620654418016,127.0,3,0,1,0.0,0.0
400353,N06000209,WCL,COAL,Major,711.0,6.568077911411976,77.0,3,0,0,0.0,0.0
400354,N06000200,SECL,COAL,Mega,5241.4,8.564534687725287,99.0,4,0,0,0.0,0.0
400369,N06000192,NCL,COAL,Major,836.42,6.730325736748608,43.0,4,0,0,0.0,0.0
400392,N06000171,MCL,COAL,Mega,2838.87,7.951513555459673,124.0,6,0,2,0.0,0.0
400425,N06000098,BCCL,COAL,Mega,1230.27,7.115801436009194,91.0,11,1,2,47.0,0.0
40380,N24001919,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,193.16,5.268682561418346,33.0,1,0,0,0.0,0.0
40430,N24001375,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,496.47,6.209535253272901,81.0,3,0,1,0.0,0.0
42250,N24001925,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,423.18,6.0501578934472,41.0,1,0,0,0.0,0.0
423500,N24001551,NHAI,ROAD TRANSPORT & HIGHWAYS,Mega,3044.02,8.021262748266926,35.0,2,0,1,0.0,2.4615384615384617
43060,N24001441,MoRTH,ROAD TRANSPORT & HIGHWAYS,Major,302.88,5.716632886635021,18.0,2,0,0,0.0,0.0
