project_id,project_name,agency,legacy_ocms_code,state,approval_start_date,actual_completion_date,original_completion_date,revised_completion_date,original_cost_crore,revised_cost_crore,cumulative_expenditure_crore,report_month,source_file,source_table
N22000418,EXECUTION OF RAIL CONNECTIVITY PROJECT FOR COAL TRANSPORTATION IN ODISHA FOR MCRL,IRCON,N22000418,N22000418,,2020-03,2020-03,,5200.0,,389.0,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N22000419,KARAILA ROAD - SHAKTINAGAR DOUBLING,ECR,N22000419,N22000419,,2024-08,2024-08,,762.97,,808.96,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N22000502,"MANSA-BHATINDA (PHASE-I), INCL. NEW MATERIAL MODIFICATION FOR RAMA MANDI (RAMAN) - SADA SINGHWALA VI",PHASE-I,N22000502,RAMAN,,2016-08,2016-08,,404.0,,190.0,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N22000505,MEHSANA PALANPUR DOUBLING PROJECT 65.10 KMS ROAD TRANSPORT AND HIGHWAYS,WR,N22000505,N22000505,,2024-03,2024-03,,537.31,,944.55,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N22000523,DARBHANGA - BYPASS LINE CONNECTING SHISHO HALT AND KAKARGHATI EXCL DARBHANGA YARD (7.64 KM),7.64 KM,N22000523,ECR,,2025-06,2025-06,,983.62,,417.57,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N22000609,AZIMGANJ-MURSHIDABAD (JIYAGANJ) INCL. RLY. BRIDGE OVER RIVER BHAGIRATHI,JIYAGANJ,N22000609,ER,,2024-02,2024-02,,164.33,,160.82,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N24000567,FOUR LANING OF BHAVNAGAR-TALAJA SECTION OF NH-8E FROM KM. 7.090 TO KM. 53.585 (DESIGN CH FROM KM. 6.,NHAI,N24000567,N24000567,,2019-08,2019-08,,998.18,,1105.25,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N24000570,"FOUR LANING OF UNA TO KODINAR OF NH-8E FROM KM. 180.478 TO KM 221.610 (PACKAGE-V) IN THE STATE OF GU Total 81,224.62 88,524.42",PACKAGE-V,N24000570,NHAI,,2019-08,2019-08,,763.08,,734.78,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N24000709,BALANCE WORK FOR FOUR LANING OF ITARSI TO BETUL SECTION OF NH69 FROM KM 63.000 TO KM 137.00 (DESIGN,NHAI,N24000709,N24000709,,2020-02,2020-02,,950.27,,643.9,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N24001179,CONSTRUCTION OF 2 LANE WITH PAVED SHOULDER FROM KM. 168 TO 183.783 (YESEMYONG TO UNGER) ON MOKOKCHUN,YESEMYONG TO UNGER,N24001179,MoRTH,,2020-11,2020-11,,217.35,,214.18,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N24001180,WIDENING OF EXISTING SINGLE/INTERMEDIATE LANE ROAD TO 2 LANE ROAD FROM KM. 83.00 TO KM 101.00 ON NH-,MoRTH,N24001180,N24001180,,2022-12,2022-12,,237.51,,215.47,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N24001360,RANIKOR-MAHESHKHOLA- BAGHMARA (RMB) PKG-3,RMB,N24001360,NHIDCL,,2022-12,2022-12,,260.21,,239.35,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N24001389,CHANGTONGYA TO LONGLENG ROAD PKG-2,NHIDCL,N24001389,N24001389,,2022-06,2022-06,,206.53,,119.25,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N24001391,JORAM ? KOLORIANG ROAD FROM EXISTING KM 70.00 TO KM 88.700 (PKG-4),PKG-4,N24001391,NHIDCL,,2022-04,2022-04,,294.04,,147.13,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N24001428,FOUR LANING OF VILUPPURAM TO PUDHUCHERRY ON,DESIGN CH. KM. 00/000 TO KM. 29/000,N24001428,NHAI,,2021-11,2021-11,,998.7,,975.68,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N24001430,FOUR LANING OF POONDIYANKUPPAM (KM.67/000) TO SATTANATHAPOURAM (KM.123/800) SECTION OF NH-45A ON HAM,KM.67/000,N24001430,KM.123/800,,2022-01,2022-01,,2120.4,,1588.17,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N24001475,CONSTRUCTION OF 2 LANE WITH HARD SHOULDER FROM DESIGN CHAINAGE KM 283.000 TO KM 325.440 (5- LEGGED J,NHIDCL,N24001475,N24001475,,2024-12,2024-12,,605.36,,273.21,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N24001532,"CONSTRUCTION OF 4-LANE NH-344P-PACKAGE-4 (FROM KM 0+000 TO KM 29+600, 29.6KM), STARTING FROM BAWANA",NHAI,N24001532,N24001532,,2023-11,2023-11,,694.0,,1466.82,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N24001533,CONSTRUCTION OF 4-LANE GREEN FIELD DELHI-AMRITSAR- KATRA EXPRESSWAY (NE-05) FROM JUSSUR KHERI ON KMP,NE-05,N24001533,NHAI,,2023-12,2023-12,,1690.23,,1462.45,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N24001534,CONSTRUCTION OF FOUR-LANE GREENFIELD DELHI- AMRITSAR-KATRA EXPRESSWAY FROM JUNCTION WITH ROHTAK-PANIP,NHAI,N24001534,N24001534,,2024-01,2024-01,,1334.04,,1048.12,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N24001536,FOUR LANING OF JIND GOHANA GREENFIELD ALIGNMENT PACKAGE 1 IN THE STATE OF HARYANA UNDER HYBRID ANNUI,NHAI,N24001536,N24001536,,2022-07,2022-07,,817.0,,986.08,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N24001616,2L PS OF SATNA - MAIHAR SECTION OF NH-135BG FROM KM 80.800 TO KM 120.125,NHAI,N24001616,N24001616,,2023-10,2023-10,,428.04,,351.97,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N24001708,BAKHTIYARPUR RAJAULI PKG-III FROM KM 101.630 TO KM 152.520 NH20,NHAI,N24001708,N24001708,,2024-06,2024-06,,2156.22,,1397.72,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N24001711,6L OF KANHAULI RAMNAGAR PATNA RING ROAD PKG I FROM KM 0.000 TO KM 39.160 OF SH78 NEW NH131G,NHAI,N24001711,N24001711,,2023-03,2023-03,,939.43,,1030.75,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N24001765,"ADDITIONAL WORKS (2VUPS, MR-10 JUNCTION FLYOVER AND UNDERPASS) IN SIX LANE INDORE-DEWAS SECTION OF N","2VUPS, MR-10 JUNCTION FLYOVER AND UNDERPASS",N24001765,NHAI,,2024-07,2024-07,,207.77,,147.24,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N24001768,BALANCE WORK OF 4L OF INDORE-GUJARAT/MP BORDER FROM KM 106.210 TO KM 115.250 (START AND END POINT OF,NHAI,N24001768,N24001768,,2023-04,2023-04,,323.51,,246.27,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N24001788,CONSTRUCTION OF EIGHT LANE ACCESS CONTROLLED EXPRESSWAY FROM KM 217.500 TO KM 254.430 OF VADODARA MU,NHAI,N24001788,N24001788,,2023-12,2023-12,,2271.86,,2655.78,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N24001815,"4L BYPASSES FOR JAGATPUR, B4ABUGANJ, UNCHAHAR, ALAPUR BYPASS, AND SAI RIVER BRIDGE OF RAEBARELI- PRA",NHAI,N24001815,N24001815,,2024-11,2024-11,,1699.0,,1033.72,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N24001869,UPGRADATION AND REHABILITATION TO TWO LANE WITH PAVED SHOULDER OF GHAGARIYA- MUNABAO SECTION FROM KM,MoRTH,N24001869,N24001869,,2025-08,2025-08,,235.15,,152.69,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N24002085,WIDENING OF RAEBARELI TO PRAYAGRAJ SECTION FROM KM. 82.650 TO KM. 161.450 OF NH-30 AND LINK ROAD FRO,NHAI,N24002085,N24002085,,2025-03,2025-03,,1470.93,,1088.3,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N28000104,NSG AT KOLKATA,CPWD FOR MHA,N28000104,N28000104,,2018-04,2018-04,,162.88,,193.91,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N28000112,C/O NEW HOSPITAL BLOCK FOR SREE CHITRA TIRUNAL INSTITIUTE OF MEDICAL SCIENCE AND TECHNOLOGY HOME AFFAIRS,CPWD FOR HEALTH,N28000112,N28000112,,2020-03,2020-03,,150.29,,162.52,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N45000003,CONSTRUCTION OF 683 VARIOUS TYPE FAMILY QUARTERS AT GROUP CENTRE CRPF CHANDAULI PETROLEUM,CPWD FOR MHA,N45000003,N45000003,,2022-01,2022-01,,199.31,,86.49,2025-05,FR_May2025.pdf,Table 3: Completed Projects
N16000392,CITY GAS DISTRIBUTION IN WEST BENGAL,HPCL,N16000392,N16000392,,2031-03,2031-03,,5830.2,,875.27,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N16000426,CGD PROJECT AT NAWADA AND KODERMA DISTRICTS,IOCL,N16000426,N16000426,,2029-12,2029-12,,169.0,,71.0,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N16000496,"CGD PROJECT IN TONK, SAWAI MADHOPUR, DAUSA, KARAULI POWER",HPCL,N16000496,N16000496,,2030-03,2030-03,,1751.0,,301.39,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N18000286,SAMBHU KI BHURJ-II SOLAR 300MW RAILWAYS,NTPC,N18000286,N18000286,,2021-09,2021-09,,1782.0,,1369.88,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N18000293,BHENSARA 320 MW,NTPC,N18000293,N18000293,,2022-07,2022-07,,1221.73,,1139.42,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N18000296,"150 MW SOLAR PV PROJECT IN GUJARAT (LIMBDI, MESANKA AND RADHANPUR)","LIMBDI, MESANKA AND RADHANPUR",N18000296,NTPC,,2022-09,2022-09,,674.92,,572.53,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N22000625,KARAIKAL PERALAM(23KM)-NEW LINE PROJECT ROAD TRANSPORT AND HIGHWAYS,23KM,N22000625,SR,,2026-03,2026-03,,304.22,,292.65,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24000301,REHABILITATION AND UPGRADATION OF NH-219 FROM KM 58-600 TO KM 140-750 IN THE STATE OF ANDHRA PRADES,MoRTH,N24000301,N24000301,,2015-10,2015-10,,271.45,,240.23,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24000332,REHABILITATION AND UPGRADATION OF END OF AHMEDNAGAR BYPASS TO KHARWANDI KASAR SECTION OF NH-222 FROM,MoRTH,N24000332,N24000332,,,,,225.81,,118.84,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24000659,4-LANNING OF WARANGA-MAHAGAON SECTION(KM 253.7000 TO 320.580),KM 253.7000 TO 320.580,N24000659,NHAI,,2017-03,2017-03,,1059.73,,928.19,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24000704,4-LANNING OF THALSERRY -MAHE BYPASS,NHAI,N24000704,N24000704,,2020-05,2020-05,,1124.11,,1527.28,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24000741,CONSTRUCTION AND UPGRADATION OF EXISTING ROAD TO 2 LANE WITH PAVED SHOULDER FROM KM 368.00 TO KM 399,NHIDCL,N24000741,N24000741,,2020-11,2020-11,,274.31,,253.61,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24000768,CONSTRUCTION OF 2-LANE WITH PAVED SHOULDER INCLUDING GEOMETRIC IMPROVEMENT FROM KM 16.000 TO KM 32.5,NHIDCL,N24000768,N24000768,,2020-10,2020-10,,290.05,,218.36,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24001003,AKOLA TO AKOT,MoRTH,N24001003,N24001003,,2019-06,2019-06,,313.95,,270.02,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24001008,AJANTHA TO BULDHANA,MoRTH,N24001008,N24001008,,2019-07,2019-07,,401.0,,246.39,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24001018,BHANDARA TO GHOTITOK,MoRTH,N24001018,N24001018,,2019-06,2019-06,,392.83,,264.35,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24001021,AMDI TO SAONER,MoRTH,N24001021,N24001021,,2019-06,2019-06,,396.91,,253.59,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24001046,RALEGAON TO RAMTIRTH,MoRTH,N24001046,N24001046,,2019-07,2019-07,,210.81,,132.0,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24001078,PUNE TO MALE VILLAGE,MoRTH,N24001078,N24001078,,2019-12,2019-12,,228.31,,113.29,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24001079,ARDHAPUR TO HIMAYATNAGAR,MoRTH,N24001079,N24001079,,2020-06,2020-06,,426.06,,268.96,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24001080,MALE VILLAGE TO PUNE RAIGARH DISTRICT BORDER,MoRTH,N24001080,N24001080,,2019-12,2019-12,,256.15,,115.53,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24001090,KOLDE TO KHETIYA,MoRTH,N24001090,N24001090,,2019-07,2019-07,,509.18,,246.83,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24001101,KURUDWADI TO PANDHARPUR,MoRTH,N24001101,N24001101,,2019-07,2019-07,,307.63,,208.22,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24001102,PANDHARPUR TO SANGOLA,MoRTH,N24001102,N24001102,,2019-07,2019-07,,218.38,,176.99,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24001138,PARLI PIMPLA DAHIGUDA SOCIAL JUSTICE,MoRTH,N24001138,N24001138,,2019-06,2019-06,,205.72,,813.5,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24001254,CONSTUCTION/UPGRADATION OF EXISTING HIGHWAY TO 2 LANE WITH PAVED SHOULDER FROM KM 26.10 TO KM 40.00,NHIDCL,N24001254,N24001254,,2022-06,2022-06,,242.97,,246.91,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24001286,2-LANING OF CHANGTONGYA TO LONGLENG ROAD OF NH-702 (PKG-I),PKG-I,N24001286,NHIDCL,,2022-06,2022-06,,278.95,,166.29,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24001339,RANIKOR-MAHESHKHOLA- BAGHMARA (RMB) PKG-4,RMB,N24001339,KANAI-RONGARA,,2022-04,2022-04,,157.86,,152.95,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24001440,KEIFANG - TUVAI PKG-1,NHIDCL,N24001440,N24001440,,2023-05,2023-05,,492.94,,365.86,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24001600,BALANCE WORK 2-LANE WITH PAVED SHOULDERS OF NAGAPATTINAM - THANJAVUR SECTION OF NH-67 (NEW NH-83),NEW NH-83,N24001600,NHAI,,2023-05,2023-05,,434.12,,268.92,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24001603,4-LANING OF ODDANCHATRAM - MADATHUKULAM SECTION OF NH-209 (NEW NH-83),NEW NH-83,N24001603,NHAI,,2022-10,2022-10,,1518.53,,915.4,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24001887,REHABILITATION AND UPGRADATION OF BHOKARDAN TO KUMBHARI FATA DESIGN CH. (KM 13+500 TO 17+00) AND RAJ,MoRTH,N24001887,N24001887,,2024-06,2024-06,,291.37,,157.59,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24001888,"UP-GRADATION OF TIRORA-GONDIA, STATE HIGHWAY FROM EXISTING KM 163+213 (ON SH-335, TIRORA) TO KM 191+","ON SH-335, TIRORA",N24001888,MoRTH,,2023-04,2023-04,,288.14,,72.78,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24001889,2 LANE + PS PIMPLNER TO SATANA -[DESIGN CHAINAGE KM 21.427 TO 64.00 ] OF NH-752G],MoRTH,N24001889,N24001889,,2021-07,2021-07,,277.81,,155.01,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24001894,2 LANE + PS ASTHAMODE - TIVATYAL [DESIGN CH. KM 24.300 - 62.00] [KM 134.98-172.95 OF NH-63],MoRTH,N24001894,N24001894,,2021-07,2021-07,,228.82,,145.5,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24001895,REHABILATION AND UPGRADATION TO TWO LANES WITH PAVED SHOULDER CONFIGURATION FROM WATUR TO CHARTHANA,MoRTH,N24001895,N24001895,,2023-09,2023-09,,228.01,,106.11,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24001905,"CONSTRUCTION OF MAJOR BRIDGE ACROSS MANJRA RIVER NEAR YESGI VILLAGE @ KM, 166/500 ON NH 63 TQ BILOLI",MoRTH,N24001905,N24001905,,2023-08,2023-08,,188.69,,111.25,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24001909,"STRENGTHING AND WIDINING OF EXISTING CARRIAGEWAY TO 10 M IN KM, 156/160 TO 229/160",MoRTH,N24001909,N24001909,,2024-06,2024-06,,157.72,,80.37,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N24002137,STRENGTHENING OF 6-LANE PIMPALGAON-NASHIK- GONDE (KM. 380 - KM. 440) SECTION OF NH-3 IN MAHARASHTRA U,KM. 380 - KM. 440,N24002137,NHAI,,2025-03,2025-03,,175.0,,201.0,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N28000121,"PUNE METRO RAIL PROJECT (PHASE 1) Total 35,753.08 27,863.47",PHASE 1,N28000121,MMRC,,2021-11,2021-11,,11420.0,,13088.19,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N28000159,KOCHI METRO RAIL PROJECT PHASE IB SECTION FROM S N JUNCTION TO THRIPUNITHURA,KMRCL,N28000159,N28000159,,2023-09,2023-09,,355.7,,448.39,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
N38000001,CENTRE FOR DISABILITY SPORTS URBAN DEVELOPMENT,CPWD,N38000001,N38000001,,2024-03,2024-03,,170.99,,162.63,2025-06,FR_JUNE_2025.pdf,Table 3: Completed Projects
400117,Arjun Sahayak Project Uttar Pradesh 04/2009 Ministry of Petroleum & Natural Gas Total (2) 1432.53 4016.19,Irrigation & Water Resources-UP,,Uttar Pradesh,,2025-10,2019-12,2019-12,741.38,2465.68,3037.68,2025-09,FlashReport_September_2025.pdf,Table 3: Completed Projects
604792,"Assam Bio Refinery, ABRPL Assam 02/2018",Ministry of Petroleum & Natural Gas,,Assam,,2025-09,2021-09,2025-09,1750.0,4930.0,4770.0,2025-09,FlashReport_September_2025.pdf,Table 3: Completed Projects
609041,"IoE Projects [Civil Works], IIT Kharagpur West Bengal 01/2018 Department of Water Resources, River Development & GR Water Resources Total (1) 287.2","Indian Institute of Technology, Kharagpur",,West Bengal,,2025-08,2023-03,2026-12,287.2,,310.0,2025-09,FlashReport_September_2025.pdf,Table 3: Completed Projects
617303,"City Gas Distribution Project at Khagaria, Saharsa and Madhepura Bihar 03/2019 Ministry of Ports, Shipping and Waterways Total (2) 4866.95",Ministry of Petroleum & Natural Gas,,Bihar,,2025-09,2030-03,2025-09,163.0,163.0,96.95,2025-09,FlashReport_September_2025.pdf,Table 3: Completed Projects
701371,Durgawati Reservoir Project Bihar 04/1996,Irrigation and CAD-TG,,Bihar,,2025-09,2019-12,2026-03,691.15,971.96,978.51,2025-09,FlashReport_September_2025.pdf,Table 3: Completed Projects
708655,Operationalization of Coastal Berth & Shallow Water Berth through PPP Maharashtra Total (1) 366.8 376.86,Jawaharlal Nehru Port Authority [JNPA],,Maharashtra,,2026-01,,,366.8,,376.86,2025-09,FlashReport_September_2025.pdf,Table 3: Completed Projects
611938,Vijapur Ambliyasan Gauge Conversion Gujarat 05/2022,WR,,Gujarat,,2025-10,2026-05,2025-10,415.38,415.38,701.04,2025-10,FlashReport_October_2025.pdf,Table 3: Completed Projects
611939,Himmatnagar Khedbrahma Gauge Conversion Gujarat 06/2022,WR,,Gujarat,,2025-08,2001-06,2025-08,482.42,482.42,894.4,2025-10,FlashReport_October_2025.pdf,Table 3: Completed Projects
612998,Bathinda Sangrur Pipeline Punjab 11/2021 Ministry of Railways Railways Total (2) 356.36,Ministry of Petroleum and Natural Gas,,Punjab,,2015-10,2024-05,2025-10,367.0,397.0,355.93,2025-10,FlashReport_October_2025.pdf,Table 3: Completed Projects
705566,Domingarh-Gorakhpur-Gorakhpur Cantt.-Kusumhi - 3rd Railway Line Project Uttar Pradesh 11/2016,North Eastern Railway [NER],,Uttar Pradesh,,2025-09,2025-02,2025-09,351.0,521.47,499.64,2025-10,FlashReport_October_2025.pdf,Table 3: Completed Projects
705863,Bahraich - Nanpara - Nepalganj Road Gauge Conversion Uttar Pradesh 07/2020 Total (4) 2198.8 2602.1,North Eastern Railway [NER],,Uttar Pradesh,,2025-09,2025-07,2025-09,950.0,550.0,507.02,2025-10,FlashReport_October_2025.pdf,Table 3: Completed Projects
709761,HP Trijet Unit in Visakh Refinery Andhra Pradesh 07/2024,Hindustan Petroleum Corporation Limited,,Andhra Pradesh,,2025-11,2027-07,2025-11,193.0,193.0,0.43,2025-10,FlashReport_October_2025.pdf,Table 3: Completed Projects
606781,"Transmission System for Strengthening of Srinagar-Leh Tr. System Total (7) 5152.48 5703.93 Multi-States (Jammu and Kashmir, Ladakh)",Power Grid Corporation of India Limited [POWERGRID],,(03/2022),2022-03,2025-11,2024-12,2025-11,288.71,,288.71,2025-11,FlashReport_November_2025.pdf,Table 3: Completed Projects
608301,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan 8.1 GW under Phase II- Part- G1,Power Grid Corporation of India Limited [POWERGRID],,Delhi (02/2022),2022-02,2025-11,2023-09,2025-12,359.47,,359.47,2025-11,FlashReport_November_2025.pdf,Table 3: Completed Projects
608302,Transmission system for evacuation of Power from Pakaldul HEP in Chenab Valley HEPs - LTA System Jammu and Kashmir 02/2022,Power Grid Corporation of India Limited [POWERGRID],,Jammu and Kashmir,,2025-11,2025-04,2025-11,318.12,,318.12,2025-11,FlashReport_November_2025.pdf,Table 3: Completed Projects
608922,"Transmission System Strengthening Scheme for evacuation of power from SEZ in Rajasthan 8.1 GW under Phase II Part G Multi-States (Delhi, Haryana, Rajasthan)",Power Grid Corporation of India Limited [POWERGRID],,(05/2022),2022-05,2023-11,2025-12,,1666.0,2218.0,2218.0,2025-11,FlashReport_November_2025.pdf,Table 3: Completed Projects
611656,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part B,Power Grid Corporation of India Limited [POWERGRID],,Gujarat (03/2023),2023-03,2025-12,2025-03,2025-12,1167.55,1167.0,1167.0,2025-11,FlashReport_November_2025.pdf,Table 3: Completed Projects
611660,Establishment of Khavda Pooling Station-2 KPS2 in Khavda RE Park KPS2 TRANSMISSION SYSTEM LIMITED,Power Grid Corporation of India Limited [POWERGRID],,Gujarat (03/2023),2023-03,2025-12,2024-12,2025-11,966.79,,966.79,2025-11,FlashReport_November_2025.pdf,Table 3: Completed Projects
611737,Western Region Expansion Scheme-XXV Chhattisgarh 05/2022,Power Grid Corporation of India Limited [POWERGRID],,Chhattisgarh,,2023-08,2025-10,,385.84,,385.84,2025-11,FlashReport_November_2025.pdf,Table 3: Completed Projects
612688,"Construction of New OPD Block 200 Bed ward Basement + GF + 6 Floors at the location of old OPD block, at existing ESIC Hospital/ Medical college campus, Sanathnagar, Hyderabad Ministry of Ports, Shipping and Waterways Total (1) 211.13 198.95",Employee's State Insurance Company [ESIC],,Telangana (10/2021),2017-11,2025-06,2024-06,2025-06,211.13,,198.95,2025-11,FlashReport_November_2025.pdf,Table 3: Completed Projects
613795,JAMPALI OC RCE [2.0 MTY] Chhattisgarh 05/2020 Ministry of Housing & Urban Affairs Total (1) 278.64 210.07,South Eastern Coalfields Limited [SECL],,Chhattisgarh,,2024-08,2025-03,2025-06,278.64,,210.07,2025-11,FlashReport_November_2025.pdf,Table 3: Completed Projects
617282,"C/o 184 MS Flats for Hon'ble MPs at BKS Marg, New Delhi Delhi 01/2022 Waste & Water Total (1) 646.53 540.04",Central Public Works Department [CPWD],,Delhi,,2025-09,2025-05,2025-09,646.53,646.52,540.04,2025-11,FlashReport_November_2025.pdf,Table 3: Completed Projects
701091,Lucknow Airport-Terminal 3- Phase 1 & Other Associated Works Uttar Pradesh 06/2018 Ministry of Coal Coal Total (1) 3112.57,Adani Airport Holdings Limited,,Uttar Pradesh,,2024-03,2026-03,,3100.0,,3112.57,2025-11,FlashReport_November_2025.pdf,Table 3: Completed Projects
701564,"Construction of new dry dock at exisitng Cochin Shipyard Limited premises at Perumanoor, Kochi 682 015 Ministry of Power Transmission & Distribution Total (1) 1558.39",Cochin Shipyard,,Kerala (05/2018),2018-04,2025-03,2022-12,2025-03,1799.0,,1558.39,2025-11,FlashReport_November_2025.pdf,Table 3: Completed Projects
702682,Dibrugarh Water Supply Infrastructure Project Assam 02/2016 Ministry of Labour and Employment Healthcare Total (1) 186.8 186.8,Ministry of Housing & Urban Affairs,,Assam,,2025-12,2023-03,2026-01,186.8,,186.8,2025-11,FlashReport_November_2025.pdf,Table 3: Completed Projects
400065,Installation of 4th Slab Caster along with its Auxiliaries and a New Ladle Furnace in SMS-II at Rourkela Steel Plant Total (1) 1105.23 809.53,Steel Authority of India Limited [SAIL],,Odisha (02/2022),2022-01,2025-05,2025-09,,1105.23,,809.53,2025-12,FlashReport_December_2025.pdf,Table 3: Completed Projects
400145,CHHAL OC SEAM III [6 MTY] Chhattisgarh 12/2013 Ministry of Housing & Urban Affairs Waste & Water Total (1) 610.63 583.26,South Eastern Coalfields Limited [SECL],,Chhattisgarh,,2025-12,2022-03,2026-01,610.63,,583.26,2025-12,FlashReport_December_2025.pdf,Table 3: Completed Projects
400158,Debottlenecking and Augmentation of Cryogenic facilities at Uran LPG Import Terminal,"Department of Water Resources, River Development & GR",,Maharashtra (04/2021),2021-04,2025-12,2024-02,2025-12,1164.69,1629.86,1048.74,2025-12,FlashReport_December_2025.pdf,Table 3: Completed Projects
602194,Khurja super Thermal Power Plant [2X660 MW] Uttar Pradesh 03/2019 Transmission & Distribution Total (2) 16581.31 18411.34,THDC India Limited,,Uttar Pradesh,,2025-09,2024-02,2025-09,11089.42,13276.2,12888.23,2025-12,FlashReport_December_2025.pdf,Table 3: Completed Projects
610940,"Additional Infrastructure at IISc Bangalore-RCC Monolithic for Men Hostel S14, Women Hostel S11 , Postdoctoral Hostel S12 2 Block , International Hostel S 12 , D&E Block S 12 2 Block FR.",IISC Bangalore,,Karnataka (08/2021),2021-08,2025-12,2024-03,2025-12,420.41,420.41,367.92,2025-12,FlashReport_December_2025.pdf,Table 3: Completed Projects
610985,Construction of lube oil blending plant at Rasayani Maharashtra 05/2022 Ministry of Power Electricity Generation Total (2) 1588.08 1382.22,Ministry of Petroleum & Natural Gas,,Maharashtra,,2025-12,2023-12,2025-12,423.39,526.26,333.48,2025-12,FlashReport_December_2025.pdf,Table 3: Completed Projects
