project_id,project_name,agency,legacy_ocms_code,state,approval_start_date,actual_completion_date,original_completion_date,revised_completion_date,original_cost_crore,revised_cost_crore,cumulative_expenditure_crore,report_month,source_file,source_table
618874,Four Laning of Trichy - Dindigul from km. 333.00 to km. 421.273 of NH-45 Tamil Nadu 12/2006,NHAI,,Tamil Nadu,,2010-07,2026-06,,1003.11,435.81,377.7,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
618897,4L of Sethiyathope -Cholapuram section from Km. 65.960 to Km. 116.440 section of NH45 C Pkg-II,NHAI,N24000708,Tamil Nadu (08/2018),2017-03,2020-08,2025-11,,2356.19,2356.9,1697.35,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
618912,"Construction of Rudrapur Bypass Section from Km. 0.000 to 20.640 in the state of Uttar Pradesh & Uttarakhand Multi-States (Uttar Pradesh, Uttarakhand)",NHAI,,(01/2024),2023-03,2026-01,2026-03,,1051.73,1117.17,670.74,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
618913,4-L of Rajamunda to Barkote Section of NH-23 from km. 287.200 to km. 337.185 Odisha 10/2017,NHAI,N24000739,Odisha,,2021-06,2025-07,,609.63,630.97,608.19,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
618915,4L of Bal. works of Patna - Gaya -Dobhi Pkg-II from km. 39.00 to km. 83.00 of Old NH-83,NHAI,N24001304,Bihar (11/2020),2019-09,2022-11,2025-05,,1637.29,777.2,764.68,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
618916,4L of Bal. works of Patna - Gaya -Dobhi Pkg-III from km. 83.00 to km. 127.217 of Old NH-83,NHAI,N24001305,Bihar (11/2020),2019-09,2022-11,2025-05,,1077.46,799.7,803.33,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
618919,4L PS from Mandlem Existing Km. 38.000/Design Km.30.600 to Atmakur Existing Km.73.000/Design Km 66.115 of NH340C Package2 Andhra Pradesh 03/2023,NHAI,N24001984,Andhra Pradesh (11/2023),2023-03,2025-11,2025-11,,887.28,913.03,550.42,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
618935,"4L Ambala - Kalaamb from Km. -0.800 to Km. 33.015 of old NH-72 Multi-States (Punjab,",NHAI,N24002044,Haryana) (06/2023),2022-10,2025-06,2026-02,,1183.7,1190.34,706.54,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
618938,4L of Rajura-Korpana-Adilabad Road upto M.S. Border from km 32.910 to km 89.090 of NH-353B,NHAI,N24001796,"Multi-States (Maharashtra, Telangana) (10/2022)",2022-03,2024-10,2026-03,,1013.33,1274.63,699.33,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
618943,Salem - Ulundurpet section from km 0.313 to km 136.670 of NH-68 Tamil Nadu 12/2006,NHAI,,Tamil Nadu,,2011-01,2025-11,,861.23,1019.85,940.44,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
618946,4L of Mehgama - Hansdiha from km. 41.900 to km. 93.000 of NH -133A Pkg-II Jharkhand 03/2022,NHAI,N24002057,Jharkhand,,2025-05,2026-05,,1479.72,1568.18,1034.52,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
619063,4L Greenfield spur from Delhi-Vadodara Greenfield expressway near Bandikui to Jaipur,NHAI,N24001557,Rajasthan (11/2022),2022-03,2024-11,2025-10,,1636.15,2170.39,1283.3,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
619067,6L of Chiloda-Naroda section from Km. 540.595 to Km. 555.595 of NH- 8Package-VII,NHAI,,Gujarat (05/2017),2016-11,2019-05,2026-02,,356.6,463.03,443.07,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
619075,6L of Bhubaneswar - Jagatpur - Chandikhole Section of NH-16 Odisha 01/2009,NHAI,,Odisha,,2014-06,2026-04,,639.3,632.89,579.23,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
619083,"Project Assessment, Infrastructure Monitoring and Analytics for Nation-building Thumbipadi-Namakkal from km. 180.00 to km. 248.625 Package No. NS- 2/BOT/TN-02",PAIMANA,,Tamil Nadu (08/2006),2005-06,2009-02,2026-06,,255.53,395.43,392.41,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
619084,Start of Karur Bypass - Dindigul from km. 292.600 to km. 305.600 Contract Package No. NS2/BOT/TN-4,NHAI,,Tamil Nadu (10/2006),2005-08,2009-04,2025-12,,461.54,515.03,222.72,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
619104,"4L/2L PS of Govindpur Raiganj - Chas - WB border section of from km. 0.00 to km. 56.889 of Old NH-32 Multi-States (West Bengal, Jharkhand)",NHAI,,(12/2017),2016-03,2019-12,2025-09,,1139.65,1154.8,1064.7,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
619121,4L of Hubli - Hospet Section of NH-63 from Km 128.850 to Km 272.571 Karnataka 07/2016,NHAI,,Karnataka,,2020-03,2026-03,,2531.99,3619.32,3522.85,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
619122,Akshardham - DL/UP Border Pkg-01 Multi-States (Uttar,NHAI,N24001771,"Pradesh, Delhi) (06/2022)",2020-09,2024-12,2024-08,,1479.22,1476.75,1399.88,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
619144,Hospet - Chitradurga from km. 299.00 to km. 418.750 Karnataka 03/2015,NHAI,,Karnataka,,2018-08,2026-06,,1519.72,387.48,331.26,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
619147,4L of Bal Works of Mahuva to Kagvadar from 100.450 Km. to 140.470 Km. of NH-8E Pkg- III,NHAI,N24001793,Gujarat (03/2021),2020-08,2022-09,2024-07,,603.08,628.49,624.43,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
619148,4L of Bhavnagar - Talaja Package-I from Km. 6.945 to Km. 54.990 of Old NH-8E Gujarat 03/2016,NHAI,,Gujarat,,2019-08,2024-06,,1185.66,1343.16,1316.53,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
619209,4L of existing 2/4L stretch from Lonand to Dive Ghat Km 166.400 to Km 220.900 of Mohol Alandi section of NH-965 Pkg - V,NHAI,,Maharashtra (05/2022),2021-10,2024-05,2026-03,,1709.56,2049.51,1295.04,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
619320,Muzaffarpur - Sonbarsa Section of NH-77 from km 2.800 to km 89.000 Bihar 05/2011,NHAI,,Bihar,,2013-11,2026-03,,2290.72,2311.1,2308.19,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
67880,Up-gradation of NH-930 Sherpar to Kohka from Km.67880 to Km.114860 to 2LPS in Chhattisgarh under EPC mode,MoRTH,N24001917,Chhattisgarh (05/2022),2020-03,2024-05,2025-12,,278.97,,210.82,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
68617,Construction & Upgradation to 2 lane with paved shoulder from Design Km. 31.449 Khellani Ex. Km 44.946 to Km 51.700 Prem Nagar Ex. Km 68617 of 20.251 Km length on Khellani - Kishtwar - Chattroo section of NH-244 in the UT of J&K on EPC Mode under NHO-Gen PKG- 1 Jammu and Kashmir 02/2021,NHIDCL,N24001323,Jammu and Kashmir,,2022-09,2024-11,,486.45,,300.52,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
701105,Goa Airport Terminal Building Extension Project Goa 11/2017 Ministry of Petroleum & Natural Gas Total (1) 255.69 161.06,Airport Authority of India [AAI],N04000095,Goa,,2021-12,2026-04,,255.69,255.69,161.06,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
701263,Rajasthan Refinery Project Rajasthan 10/2017,MinistryofPetroleumNaturalGas,N16000513,Rajasthan,,2022-10,2026-06,,43129.0,79459.0,70293.57,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
709760,HP TDAE Unit in Mumbai Refinery Maharashtra 06/2024,Hindustan Petroleum Corporation Limited,N16000534,Maharashtra,,2026-04,2026-06,,240.0,240.0,160.8,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
709782,ATF Pipeline from Jawaharlal Nehru Port Trust to Navi Mumbai International Airport Ministry of Power Transmission & Distribution Total (2) 264.16,Indian Oil Corporation Limited [IOCL],N16000456,Maharashtra (08/2022),2022-08,2025-08,2026-06,,165.0,165.0,103.36,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
900808,"Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone Part-A and Part-B Multi-States (Telangana, Andhra Pradesh)",Power Grid Corporation of India Limited [POWERGRID],N18000352,Andhra Pradesh) (03/2023),2022-11,2024-11,2026-05,,3546.94,,3546.94,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
91400,Delhi-Amritsar-Katra Expressway Phase-I Pkg-IV from Junction with Jind-Karnal road NH-709A near Alewa village to Junction with Ambala-Kaithal-Hissar road NH-152 near Kharak Pandwa village Km 91400 to Km 120250,NHAI,N24001634,Haryana (12/2021),2021-01,2023-12,2025-11,,1306.95,1578.66,1098.84,2026-06,FlashReport_June_2026.pdf,Table 3: Completed Projects
