model,target,train_rows,val_rows,oot_rows,val_roc_auc,val_pr_auc,val_brier,oot_roc_auc,oot_pr_auc,oot_brier
Logistic Regression,target_future_stagnant_3m,4563,2784,3369,0.6161,0.2447,0.1624,0.5585,0.3104,0.2144
Random Forest (depth=8),target_future_stagnant_3m,4563,2784,3369,0.7703,0.3789,0.1772,0.7582,0.4739,0.1706
