project_id,project_name,agency,state,prediction_month,evaluation_month,approval_start_date,original_completion_date,original_cost_crore,project_age_months_t,planned_duration_months,original_cost_log,project_size_category,physical_progress_t,cumulative_expenditure_t,revised_cost_t,revised_doc_t,cost_escalation_pct_t,expenditure_ratio_pct_t,remaining_physical_progress_t,schedule_slippage_months_t,months_to_original_doc_t,months_to_revised_doc_t,physical_progress_lag1,physical_progress_lag2,physical_progress_lag3,progress_change_1m_t,progress_change_2m_t,progress_change_3m_t,progress_velocity_1m_t,progress_velocity_3m_t,progress_velocity_6m_t,max_progress_to_date_t,min_progress_to_date_t,average_progress_to_date_t,progress_std_to_date_t,cumulative_expenditure_lag1,cumulative_expenditure_lag3,monthly_expenditure_delta_t,expenditure_change_1m_t,expenditure_change_3m_t,expenditure_velocity_3m_t,expenditure_velocity_6m_t,avg_monthly_expenditure_to_date_t,expenditure_growth_rate_t,negative_expenditure_delta_flag_t,stagnant_2m_t,stagnant_3m_t,stagnant_6m_t,months_since_last_progress_increase_t,longest_stagnation_to_date_t,progress_change_last_3m_t,has_cost_revision_t,cost_revision_count_to_date_t,months_since_last_cost_revision_t,largest_cost_revision_pct_to_date_t,cost_reduction_pct_as_of_t,has_revised_schedule_as_of_t,schedule_revision_count_to_date_t,months_since_last_schedule_revision_t,current_schedule_status_as_of_t,months_observed_to_date_t,first_observed_month,months_since_first_observed_t,observation_coverage_ratio_t,consecutive_observation_count_t,months_since_last_observation_t,missing_physical_progress_t,missing_expenditure_t,missing_revised_cost_t,missing_revised_doc_t,observation_gap_flag_t,state_active_project_count_t,state_mean_progress_t,state_median_progress_t,state_mean_cost_t,state_mean_expenditure_ratio_t,agency_active_project_count_t,agency_mean_progress_t,agency_median_progress_t,agency_mean_cost_t,agency_mean_expenditure_ratio_t,reporting_structure_version_t,focused_cohort_indicator_t,table_source_t,schedule_delay_3m,schedule_revision_3m,cost_overrun_state_3m,cost_revision_event_3m,schedule_status_v2,schedule_revision_status_v2,cost_status_v2,label_reason,label_confidence,source_report,is_labelled_schedule,is_labelled_schedule_revision,is_labelled_cost
617186,"Rajasthan REZ Ph-V [Part-1- 4 GW] [Sirohi/Nagaur] Complex [Rajasthan V Power Transmission Limited] Multi-States (Madhya Pradesh,",Power Grid Corporation of India Limited [POWERGRID],"MULTI-STATES (MADHYA PRADESH, RAJASTHAN)",2025-08,2025-11,2025-03,2027-03,5028.0,5.0,24.0,8.522976436171964,Mega (>1000Cr),1.0,203.2,5028.0,,0.0,4.041368337311058,99.0,,19.0,,1.0,,,0.0,,,0.0,,,1.0,1.0,1.0,0.0,139.2,0.0,64.0,64.0,203.2,67.73333333333333,,50.8,0.4597701149425288,0,1.0,,,1,1,,0,0,4,0.0,0.0,0,1,0,on_schedule,5,2025-04,4,1.0,5,1,0,0,0,1,0,6,40.0,36.5,2824.333333333333,0.3484205202378962,52,37.333333333333336,20.0,1852.501568627451,0.3653879847092567,v2_focused_cohort,1,Table 4: All Ongoing Projects,0.0,0.0,0.0,0.0,not_yet_due,no_delayed_revision,cost_not_above_original,Project active in Table 6 at 2025-11 <= original DOC 2027-03,high_confidence_operational,FlashReport_August_2025.pdf,1,1,1
617188,"Sipat Super Thermal Power Project, Stage-III [1x800 MW]",National Thermal Power Corporation [NTPC],CHHATTISGARH,2025-08,2025-11,2024-09,2029-09,9791.0,11.0,60.0,9.189321004752108,Mega (>1000Cr),0.0,0.0,9791.0,,0.0,0.0,100.0,,49.0,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0,1.0,,,1,1,,0,0,1,0.0,0.0,0,0,0,on_schedule,2,2025-07,1,1.0,2,1,0,0,0,1,0,44,42.825581395348834,40.0,2271.2125,0.359622617330765,8,40.625,39.5,9541.69875,0.4301338592930569,v2_focused_cohort,1,Table 4: All Ongoing Projects,0.0,0.0,0.0,0.0,not_yet_due,no_delayed_revision,cost_not_above_original,Project active in Table 6 at 2025-11 <= original DOC 2029-09,high_confidence_operational,FlashReport_August_2025.pdf,1,1,1
617200,KHARSIA- NAYA RAIPUR-PARMALKASA 5th and 6th Line [278KM],CAO/C/SECR,CHHATTISGARH,2025-08,2025-11,2025-04,2031-03,7853.84,4.0,71.0,8.96888518129067,Mega (>1000Cr),0.0,0.0,7853.84,,0.0,0.0,100.0,,67.0,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0,1.0,,,1,1,,0,0,1,0.0,0.0,0,0,0,on_schedule,2,2025-07,1,1.0,2,1,0,0,0,1,0,44,42.825581395348834,40.0,2271.2125,0.359622617330765,1,0.0,0.0,7853.84,0.0,v2_focused_cohort,1,Table 4: All Ongoing Projects,0.0,0.0,0.0,0.0,not_yet_due,no_delayed_revision,cost_not_above_original,Project active in Table 6 at 2025-11 <= original DOC 2031-03,high_confidence_operational,FlashReport_August_2025.pdf,1,1,1
617201,Gondia-Balharshah [Chanda Fort] Doubling [240 Km],South East Central Railway,MAHARASHTRA,2025-08,2025-11,2025-04,2030-04,4373.04,4.0,60.0,8.383442346142315,Mega (>1000Cr),0.0,0.0,4373.04,,0.0,0.0,100.0,,56.0,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0,1.0,,,1,1,,0,0,1,0.0,0.0,0,0,0,on_schedule,2,2025-07,1,1.0,2,1,0,0,0,1,0,90,44.67045977011494,50.0,1867.6653333333331,0.5534401192946221,2,25.0,25.0,3129.52,0.2453022269353128,v2_focused_cohort,1,Table 4: All Ongoing Projects,0.0,0.0,0.0,0.0,not_yet_due,no_delayed_revision,cost_not_above_original,Project active in Table 6 at 2025-11 <= original DOC 2031-03,high_confidence_operational,FlashReport_August_2025.pdf,1,1,1
617206,"Delhi Metro Rail Phase-IV [Rithala - Kundli Corridor] Multi-States (Delhi,",Delhi Metro Rail Corporation Limited [DMRC],"MULTI-STATES (DELHI, HARYANA)",2025-08,2025-11,2025-01,2029-01,6230.99,7.0,48.0,8.737450982927987,Mega (>1000Cr),0.0,0.29,6230.99,,0.0,0.0046541560811363,100.0,,41.0,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.14,,0.1499999999999999,0.1499999999999999,,,,0.1499999999999999,1.0714285714285712,0,1.0,,,1,1,,0,0,1,0.0,0.0,0,0,0,on_schedule,2,2025-07,1,1.0,2,1,0,0,0,1,0,1,0.0,0.0,6230.99,4.654156081136384e-05,3,23.0,0.0,13193.15,0.2111415904277396,v2_focused_cohort,1,Table 4: All Ongoing Projects,0.0,0.0,0.0,0.0,not_yet_due,no_delayed_revision,cost_not_above_original,Project active in Table 6 at 2025-11 <= original DOC 2029-01,high_confidence_operational,FlashReport_August_2025.pdf,1,1,1
617207,Delhi Metro Rail Phase-IV [2 Corridors],Delhi Metro Rail Corporation Limited [DMRC],DELHI,2025-08,2025-11,2024-03,2029-03,8399.81,17.0,60.0,9.036083408753898,Mega (>1000Cr),0.0,5.58,8399.81,,0.0,0.0664300740135788,100.0,,43.0,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,5.57,,0.0099999999999997,0.0099999999999997,,,,0.0099999999999997,0.0017953321364452,0,1.0,,,1,1,,0,0,1,0.0,0.0,0,0,0,on_schedule,2,2025-07,1,1.0,2,1,0,0,0,1,0,20,39.578947368421055,15.0,4132.933,0.3615327198932793,3,23.0,0.0,13193.15,0.2111415904277396,v2_focused_cohort,1,Table 4: All Ongoing Projects,0.0,0.0,0.0,0.0,not_yet_due,no_delayed_revision,cost_not_above_original,Project active in Table 6 at 2025-11 <= original DOC 2029-03,high_confidence_operational,FlashReport_August_2025.pdf,1,1,1
617210,Tiupati Katpadi 104.39 kms,South Central Railway [SCR] - II,ANDHRA PRADESH,2025-08,2025-11,2025-04,2029-03,1215.56,4.0,47.0,7.103782482832203,Mega (>1000Cr),0.0,0.0,1215.56,,0.0,0.0,100.0,,43.0,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0,1.0,,,1,1,,0,0,1,0.0,0.0,0,0,0,on_schedule,2,2025-07,1,1.0,2,1,0,0,0,1,0,31,44.61290322580645,42.0,2413.763225806452,0.5073991012341176,18,30.445,1.0,1740.1105555555555,0.3099885675963102,v2_focused_cohort,1,Table 4: All Ongoing Projects,0.0,0.0,0.0,0.0,not_yet_due,no_delayed_revision,cost_not_above_original,Project active in Table 6 at 2025-11 <= original DOC 2029-03,high_confidence_operational,FlashReport_August_2025.pdf,1,1,1
617211,"Doubling of Guntur Bibinagar 239 Km Multi-States (Andhra Pradesh,",South Central Railway [SCR] - II,"MULTI-STATES (ANDHRA PRADESH, TELANGANA)",2025-08,2025-11,2023-08,2029-03,2853.23,24.0,67.0,7.956557383437203,Mega (>1000Cr),1.0,43.88,2853.23,,0.0,1.5379061624895294,99.0,,43.0,,1.0,,,0.0,,,0.0,,,1.0,1.0,1.0,0.0,43.88,,0.0,0.0,,,,0.0,0.0,0,1.0,,,1,1,,0,0,1,0.0,0.0,0,0,0,on_schedule,2,2025-07,1,1.0,2,1,0,0,0,1,0,6,46.5,46.0,2107.186666666667,0.4695824795494533,18,30.445,1.0,1740.1105555555555,0.3099885675963102,v2_focused_cohort,1,Table 4: All Ongoing Projects,0.0,0.0,0.0,0.0,not_yet_due,no_delayed_revision,cost_not_above_original,Project active in Table 6 at 2025-11 <= original DOC 2029-03,high_confidence_operational,FlashReport_August_2025.pdf,1,1,1
617212,Doubling between Mudkhed Medchal & Mahbubnagar Dhone section 417.88 Km,South Central Railway [SCR] - II,"MAHARASHTRA, TELANGANA)",2025-08,2025-11,2023-08,2029-03,4686.09,24.0,67.0,8.452567199786568,Mega (>1000Cr),0.0,0.0,4686.09,,0.0,0.0,100.0,,43.0,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0,1.0,,,1,1,,0,0,1,0.0,0.0,0,0,0,on_schedule,2,2025-07,1,1.0,2,1,0,0,0,1,0,1,0.0,0.0,4686.09,0.0,18,30.445,1.0,1740.1105555555555,0.3099885675963102,v2_focused_cohort,1,Table 4: All Ongoing Projects,0.0,0.0,0.0,0.0,not_yet_due,no_delayed_revision,cost_not_above_original,Project active in Table 6 at 2025-11 <= original DOC 2029-03,high_confidence_operational,FlashReport_August_2025.pdf,1,1,1
617214,"Rail Connectivity to Errupalem Amravati Namburu 57 Km Multi-States (Andhra Pradesh,",South Central Railway [SCR] - II,"MULTI-STATES (ANDHRA PRADESH, TELANGANA)",2025-08,2025-11,2024-11,2027-03,2047.4,9.0,28.0,7.624814279588395,Mega (>1000Cr),0.0,0.0,2047.4,,0.0,0.0,100.0,,19.0,,0.0,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,0,1.0,,,1,1,,0,0,1,0.0,0.0,0,0,0,on_schedule,2,2025-07,1,1.0,2,1,0,0,0,1,0,6,46.5,46.0,2107.186666666667,0.4695824795494533,18,30.445,1.0,1740.1105555555555,0.3099885675963102,v2_focused_cohort,1,Table 4: All Ongoing Projects,0.0,0.0,0.0,0.0,not_yet_due,no_delayed_revision,cost_not_above_original,Project active in Table 6 at 2025-11 <= original DOC 2027-03,high_confidence_operational,FlashReport_August_2025.pdf,1,1,1
