target,feature_name,feature_family,importance_score
schedule_delay_3m,first_observed_month_2025-08,PAIMANA Core,0.000168
schedule_delay_3m,hist_agency_delay_rate_raw_3y_t,OCMS Historical Prior,0.000165
schedule_delay_3m,hist_agency_delay_rate_raw_5y_t,OCMS Historical Prior,0.00016
schedule_delay_3m,missing_expenditure_t,PAIMANA Core,0.000141
schedule_delay_3m,observation_gap_flag_t,PAIMANA Core,0.000139
schedule_delay_3m,revised_doc_t_2025-05,PAIMANA Core,0.000124
schedule_delay_3m,revised_doc_t_2027-06,PAIMANA Core,0.000116
schedule_delay_3m,revised_doc_t_2025-04,PAIMANA Core,9.4e-05
schedule_delay_3m,hist_agency_delay_count_5y_t,OCMS Historical Prior,8.6e-05
schedule_delay_3m,current_schedule_status_as_of_t_past_due_breached,PAIMANA Core,7.8e-05
schedule_delay_3m,revised_doc_t_2026-09,PAIMANA Core,7.7e-05
schedule_delay_3m,observation_coverage_ratio_t,PAIMANA Core,6.8e-05
schedule_delay_3m,hist_linked_pre_paimana_max_cost_escalation_pct_t,OCMS Historical Prior,6.7e-05
schedule_delay_3m,revised_doc_t_2024-12,PAIMANA Core,6.2e-05
schedule_delay_3m,hist_agency_delay_count_3y_t,OCMS Historical Prior,5.6e-05
schedule_delay_3m,revised_doc_t_2025-01,PAIMANA Core,5.6e-05
schedule_delay_3m,revised_doc_t_2028-06,PAIMANA Core,5.2e-05
schedule_delay_3m,revised_doc_t_2024-06,PAIMANA Core,5.1e-05
schedule_delay_3m,revised_doc_t_2025-11,PAIMANA Core,4.6e-05
schedule_delay_3m,revised_doc_t_2023-02,PAIMANA Core,4.5e-05
schedule_delay_3m,revised_doc_t_2026-03,PAIMANA Core,3.9e-05
schedule_delay_3m,revised_doc_t_2023-09,PAIMANA Core,3.1e-05
schedule_delay_3m,revised_doc_t_2028-07,PAIMANA Core,2.9e-05
schedule_delay_3m,revised_doc_t_2024-11,PAIMANA Core,2e-05
schedule_delay_3m,hist_linked_pre_paimana_cost_revision_count_t,OCMS Historical Prior,1.9e-05
schedule_delay_3m,revised_doc_t_2026-06,PAIMANA Core,1.8e-05
schedule_delay_3m,revised_doc_t_2025-10,PAIMANA Core,9e-06
schedule_delay_3m,first_observed_month_2025-04,PAIMANA Core,9e-06
schedule_delay_3m,stagnant_6m_t,PAIMANA Core,7e-06
schedule_delay_3m,negative_expenditure_delta_flag_t,PAIMANA Core,6e-06
schedule_delay_3m,revised_doc_t_2026-02,PAIMANA Core,6e-06
schedule_delay_3m,revised_doc_t_2026-12,PAIMANA Core,6e-06
schedule_delay_3m,revised_doc_t_2029-03,PAIMANA Core,4e-06
schedule_delay_3m,revised_doc_t_2025-02,PAIMANA Core,3e-06
schedule_delay_3m,revised_doc_t_2025-07,PAIMANA Core,3e-06
schedule_delay_3m,revised_doc_t_2029-05,PAIMANA Core,2e-06
schedule_delay_3m,revised_doc_t_2037-03,PAIMANA Core,2e-06
schedule_delay_3m,first_observed_month_2025-05,PAIMANA Core,1e-06
schedule_delay_3m,hist_sector_completed_count_lifetime_t,OCMS Historical Prior,0.0
schedule_delay_3m,hist_sector_delay_count_lifetime_t,OCMS Historical Prior,0.0
schedule_delay_3m,hist_sector_delay_rate_raw_lifetime_t,OCMS Historical Prior,0.0
schedule_delay_3m,hist_sector_mean_delay_months_lifetime_t,OCMS Historical Prior,0.0
schedule_delay_3m,hist_sector_median_delay_months_lifetime_t,OCMS Historical Prior,0.0
schedule_delay_3m,hist_sector_cost_obs_count_lifetime_t,OCMS Historical Prior,0.0
schedule_delay_3m,hist_sector_cost_overrun_count_lifetime_t,OCMS Historical Prior,0.0
schedule_delay_3m,hist_sector_cost_overrun_rate_raw_lifetime_t,OCMS Historical Prior,0.0
schedule_delay_3m,hist_sector_mean_cost_overrun_pct_lifetime_t,OCMS Historical Prior,0.0
schedule_delay_3m,hist_sector_completed_count_5y_t,OCMS Historical Prior,0.0
schedule_delay_3m,hist_sector_delay_count_5y_t,OCMS Historical Prior,0.0
schedule_delay_3m,hist_sector_delay_rate_raw_5y_t,OCMS Historical Prior,0.0
schedule_delay_3m,hist_sector_mean_delay_months_5y_t,OCMS Historical Prior,0.0
schedule_delay_3m,hist_sector_median_delay_months_5y_t,OCMS Historical Prior,0.0
schedule_delay_3m,hist_sector_completed_count_3y_t,OCMS Historical Prior,0.0
schedule_delay_3m,hist_sector_delay_count_3y_t,OCMS Historical Prior,0.0
schedule_delay_3m,hist_sector_delay_rate_raw_3y_t,OCMS Historical Prior,0.0
schedule_delay_3m,hist_linked_pre_paimana_max_schedule_slippage_months_t,OCMS Historical Prior,0.0
schedule_delay_3m,project_size_category_Large (500-1000Cr),PAIMANA Core,0.0
schedule_delay_3m,project_size_category_Medium (150-500Cr),PAIMANA Core,0.0
schedule_delay_3m,project_size_category_Mega (>1000Cr),PAIMANA Core,0.0
schedule_delay_3m,project_size_category_Small (<150Cr),PAIMANA Core,0.0
schedule_delay_3m,project_size_category_Unknown,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2014-03,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2016-03,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2018-03,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2019-06,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2019-08,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2019-12,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2020-03,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2020-09,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2020-11,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2021-05,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2021-11,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2021-12,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2022-03,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2022-06,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2022-09,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2022-10,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2023-01,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2023-06,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2023-08,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2023-10,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2023-11,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2023-12,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2024-01,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2024-02,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2024-03,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2024-04,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2024-05,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2024-07,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2024-08,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2024-09,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2024-10,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2025-12,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2026-01,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2026-04,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2026-05,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2026-07,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2026-08,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2026-10,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2026-11,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2027-01,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2027-02,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2027-03,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2027-04,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2027-05,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2027-07,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2027-08,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2027-09,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2027-10,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2027-11,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2027-12,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2028-01,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2028-02,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2028-03,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2028-05,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2028-08,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2028-09,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2028-10,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2028-11,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2028-12,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2029-04,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2029-08,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2029-12,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2030-02,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2030-03,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2030-05,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2030-06,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2030-09,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2030-10,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2030-11,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2031-03,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2031-06,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2031-09,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_2032-02,PAIMANA Core,0.0
schedule_delay_3m,revised_doc_t_UNKNOWN,PAIMANA Core,0.0
