model,feature,importance,rank
Logistic Regression,reporting_structure_version_t_v2_focused_cohort,0.203823,32
Logistic Regression,state_mean_cost_t,0.171958,33
Logistic Regression,physical_progress_lag2,0.17128,34
Logistic Regression,observation_gap_flag_t,0.167967,35
Logistic Regression,months_since_last_progress_increase_t,0.16664,36
Logistic Regression,has_cost_revision_t,0.143257,37
Logistic Regression,revised_cost_t,0.13829,38
Logistic Regression,missing_expenditure_t,0.138254,39
Logistic Regression,stagnant_3m_t,0.138118,40
Logistic Regression,avg_monthly_expenditure_to_date_t,0.135092,41
Logistic Regression,state_median_progress_t,0.126639,42
Logistic Regression,progress_change_2m_t,0.113064,43
Logistic Regression,project_size_category_Small (<150Cr),0.112575,44
Logistic Regression,reporting_structure_version_t_v1_initial,0.104532,45
Logistic Regression,state_mean_progress_t,0.10164,46
Logistic Regression,cost_escalation_pct_t,0.096558,47
Logistic Regression,project_size_category_Large (500-1000Cr),0.091309,48
Logistic Regression,months_since_last_schedule_revision_t,0.075379,49
Logistic Regression,expenditure_ratio_pct_t,0.074944,50
Logistic Regression,cumulative_expenditure_lag3,0.066979,51
Logistic Regression,progress_std_to_date_t,0.066391,52
Logistic Regression,physical_progress_lag3,0.065106,53
Logistic Regression,original_cost_crore,0.058684,54
Logistic Regression,cumulative_expenditure_t,0.056776,55
Logistic Regression,table_source_t_Table 6: All Ongoing Projects,0.056373,56
Logistic Regression,expenditure_velocity_6m_t,0.052777,57
Logistic Regression,state_active_project_count_t,0.052674,58
Logistic Regression,negative_expenditure_delta_flag_t,0.05195,59
Logistic Regression,largest_cost_revision_pct_to_date_t,0.051849,60
Logistic Regression,schedule_revision_count_to_date_t,0.044091,61
Logistic Regression,average_progress_to_date_t,0.03719,62
Logistic Regression,monthly_expenditure_delta_t,0.036638,63
Logistic Regression,expenditure_change_1m_t,0.036638,63
Logistic Regression,expenditure_growth_rate_t,0.03588,64
Logistic Regression,stagnant_6m_t,0.028936,65
Logistic Regression,has_revised_schedule_as_of_t,0.027959,66
Logistic Regression,missing_revised_doc_t,0.027959,66
Logistic Regression,cost_revision_count_to_date_t,0.025791,67
Logistic Regression,agency_mean_cost_t,0.024,68
Logistic Regression,cumulative_expenditure_lag1,0.021678,69
Logistic Regression,progress_change_1m_t,0.021255,70
Logistic Regression,progress_velocity_1m_t,0.021255,70
Logistic Regression,cost_reduction_pct_as_of_t,0.015371,71
Logistic Regression,consecutive_observation_count_t,0.009701,72
Logistic Regression,state_mean_expenditure_ratio_t,0.007023,73
Logistic Regression,progress_change_3m_t,0.006965,74
Logistic Regression,progress_velocity_3m_t,0.006965,74
Logistic Regression,progress_change_last_3m_t,0.006965,74
Logistic Regression,expenditure_change_3m_t,0.00612,75
Logistic Regression,expenditure_velocity_3m_t,0.00612,75
Logistic Regression,agency_mean_expenditure_ratio_t,0.005892,76
Logistic Regression,progress_velocity_6m_t,0.003086,77
Random Forest,months_to_original_doc_t,0.281202,1
Random Forest,current_schedule_status_as_of_t_on_schedule,0.159164,2
Random Forest,current_schedule_status_as_of_t_past_due_breached,0.089484,3
Random Forest,physical_progress_t,0.045985,4
Random Forest,min_progress_to_date_t,0.041683,5
Random Forest,average_progress_to_date_t,0.04022,6
Random Forest,remaining_physical_progress_t,0.034661,7
Random Forest,schedule_slippage_months_t,0.027536,8
Random Forest,physical_progress_lag1,0.021482,9
Random Forest,expenditure_ratio_pct_t,0.021308,10
Random Forest,max_progress_to_date_t,0.019931,11
Random Forest,months_to_revised_doc_t,0.017521,12
Random Forest,project_age_months_t,0.016802,13
Random Forest,agency_active_project_count_t,0.016635,14
Random Forest,agency_mean_progress_t,0.014159,15
Random Forest,current_schedule_status_as_of_t_delayed_rescheduled,0.01251,16
Random Forest,agency_median_progress_t,0.011613,17
Random Forest,physical_progress_lag2,0.009659,18
Random Forest,planned_duration_months,0.008481,19
Random Forest,agency_mean_expenditure_ratio_t,0.006272,20
Random Forest,state_active_project_count_t,0.005975,21
Random Forest,agency_mean_cost_t,0.005671,22
Random Forest,cumulative_expenditure_lag1,0.005555,23
Random Forest,physical_progress_lag3,0.005255,24
Random Forest,cumulative_expenditure_t,0.005121,25
Random Forest,original_cost_crore,0.004634,26
Random Forest,original_cost_log,0.004416,27
Random Forest,revised_cost_t,0.004398,28
Random Forest,state_mean_progress_t,0.003578,29
Random Forest,reporting_structure_version_t_v2_focused_cohort,0.003268,30
Random Forest,cost_escalation_pct_t,0.003241,31
Random Forest,missing_revised_doc_t,0.003022,32
Random Forest,state_mean_cost_t,0.002631,33
Random Forest,state_mean_expenditure_ratio_t,0.002587,34
Random Forest,reporting_structure_version_t_v1_initial,0.002545,35
Random Forest,largest_cost_revision_pct_to_date_t,0.002504,36
Random Forest,has_revised_schedule_as_of_t,0.002452,37
Random Forest,has_cost_revision_t,0.002222,38
Random Forest,focused_cohort_indicator_t,0.002179,39
Random Forest,avg_monthly_expenditure_to_date_t,0.00216,40
Random Forest,progress_std_to_date_t,0.002159,41
Random Forest,state_median_progress_t,0.002111,42
Random Forest,consecutive_observation_count_t,0.001489,43
Random Forest,months_since_first_observed_t,0.001417,44
Random Forest,cumulative_expenditure_lag3,0.001389,45
Random Forest,expenditure_change_1m_t,0.001251,46
Random Forest,months_observed_to_date_t,0.001223,47
Random Forest,expenditure_growth_rate_t,0.001143,48
Random Forest,longest_stagnation_to_date_t,0.001122,49
Random Forest,schedule_revision_count_to_date_t,0.001068,50
Random Forest,cost_reduction_pct_as_of_t,0.001026,51
Random Forest,monthly_expenditure_delta_t,0.000985,52
Random Forest,expenditure_velocity_6m_t,0.000965,53
Random Forest,table_source_t_Table 7: All Ongoing Projects,0.000881,54
Random Forest,progress_change_3m_t,0.000857,55
Random Forest,months_since_last_schedule_revision_t,0.000857,55
Random Forest,months_since_last_cost_revision_t,0.000774,56
Random Forest,progress_velocity_1m_t,0.000767,57
Random Forest,expenditure_velocity_3m_t,0.000746,58
Random Forest,progress_change_2m_t,0.000715,59
Random Forest,months_since_last_progress_increase_t,0.000681,60
Random Forest,project_size_category_Medium (150-500Cr),0.000667,61
Random Forest,expenditure_change_3m_t,0.000634,62
Random Forest,progress_change_1m_t,0.000621,63
Random Forest,progress_velocity_6m_t,0.000621,63
Random Forest,progress_change_last_3m_t,0.000556,64
Random Forest,missing_expenditure_t,0.00053,65
Random Forest,progress_velocity_3m_t,0.000439,66
Random Forest,table_source_t_Table 6: All Ongoing Projects,0.000422,67
Random Forest,missing_physical_progress_t,0.000333,68
Random Forest,stagnant_2m_t,0.000331,69
Random Forest,project_size_category_Mega (>1000Cr),0.000324,70
Random Forest,table_source_t_Table 4: All Ongoing Projects,0.000201,71
Random Forest,months_since_last_observation_t,0.000186,72
Random Forest,project_size_category_Large (500-1000Cr),0.000176,73
Random Forest,project_size_category_Unknown,0.000162,74
Random Forest,missing_revised_cost_t,0.00015,75
Random Forest,cost_revision_count_to_date_t,0.000137,76
Random Forest,stagnant_3m_t,9.8e-05,77
Random Forest,observation_coverage_ratio_t,2.6e-05,78
Random Forest,negative_expenditure_delta_flag_t,2.2e-05,79
Random Forest,project_size_category_Small (<150Cr),8e-06,80
Random Forest,observation_gap_flag_t,7e-06,81
Random Forest,stagnant_6m_t,0.0,82
