prediction_month,temporal_split,total_labelled,positive_events,negative_events,positive_rate_pct
2025-04,TRAIN,521,114,407,21.88
2025-05,TRAIN,516,106,410,20.54
2025-06,TRAIN,466,99,367,21.24
2025-07,TRAIN,720,79,641,10.97
2025-08,TRAIN,765,27,738,3.53
2025-09,TRAIN,758,23,735,3.03
2025-10,TRAIN,785,26,759,3.31
2025-11,TRAIN,793,11,782,1.39
2025-12,VALIDATION,1370,8,1362,0.58
2026-01,VALIDATION,1671,14,1657,0.84
2026-02,TEST_OOT,1910,17,1893,0.89
2026-03,TEST_OOT,1879,19,1860,1.01
